"Summer 2009
Geosciences            ATMO CLGE GEOG GEPL OCNG
Subtotal
Liberal Arts            ANTH CLLA COMM ECON ENGL EURO HISP HIST PHUM POLS PRFM PSYC SOCI
Subtotal
Science                   BIOL CHEM CLSC MATH PHYS STAT
Subtotal
Veterinary               CLVM
Medicine          VIBS VLCS VSCS VTPB VTPP
Subtotal General Studies      GEST
Subtotal
Other - Special        CLMD
Populations             COFD MARA MARB SRPH
Subtotal
Total",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,41,-26.8%,,,5,-44.4%,,,,1,100.0%,24,4.3%,,1,-50.0%,72,-20.0%,
,21,16.7%,,,6,500.0%,0,-100.0%,,,,0,-100.0%,,,,27,28.6%,
,66,-7.0%,1,0.0%,7,0.0%,4,0.0%,,1,0.0%,9,-18.2%,,2,100.0%,90,-6.3%,
,87,38.1%,,,8,100.0%,0,-100.0%,,1,100.0%,35,25.0%,,,,131,36.5%,
,33,0.0%,,,0,-100.0%,0,-100.0%,,,,20,-9.1%,,,,53,-8.6%,
,248,2.9%,1,0.0%,26,13.0%,4,-42.9%,,3,200.0%,88,3.5%,,3,0.0%,373,3.3%,
,53,20.5%,1,0.0%,8,-20.0%,3,100.0%,,0,-100.0%,2,-60.0%,,0,-100.0%,67,8.1%,
,133,-0.7%,4,-42.9%,38,11.8%,2,-71.4%,,1,-50.0%,4,-33.3%,,0,-100.0%,182,-4.7%,
,302,-7.9%,18,38.5%,39,-4.9%,4,-33.3%,,3,-40.0%,6,0.0%,,2,-33.3%,374,-7.0%,
,160,8.1%,3,-25.0%,18,-33.3%,16,77.8%,,0,-100.0%,41,-4.7%,,1,0.0%,239,2.6%,
,182,-19.1%,10,-50.0%,32,0.0%,10,-16.7%,,2,100.0%,10,-37.5%,,,,246,-19.6%,
,8,-11.1%,0,-100.0%,,,1,0.0%,,,,0,-100.0%,,,,9,-25.0%,
,29,38.1%,0,-100.0%,26,18.2%,0,-100.0%,,,,1,0.0%,,,,56,16.7%,
,212,-7.8%,7,-12.5%,30,3.4%,2,-33.3%,,1,-50.0%,1,100.0%,,2,0.0%,255,-6.9%,
,27,-18.2%,1,0.0%,7,0.0%,1,100.0%,,0,-100.0%,,,,1,-50.0%,37,-15.9%,
,240,-9.1%,27,17.4%,45,-16.7%,10,-9.1%,,3,200.0%,10,0.0%,,6,200.0%,341,-6.6%,
,11,-15.4%,,,6,-25.0%,,,,,,,,,,,17,-19.0%,
,349,0.6%,23,-11.5%,74,2.8%,24,9.1%,,5,400.0%,6,-14.3%,,5,400.0%,486,2.1%,
,119,-12.5%,32,45.5%,31,-22.5%,8,33.3%,,1,0.0%,4,0.0%,,7,-30.0%,202,-7.8%,
,"1,825",-5.5%,126,-1.6%,354,-5.9%,81,2.5%,,16,0.0%,85,-14.1%,,24,4.3%,"2,511",-5.4%,
,273,-16.5%,13,-45.8%,60,-15.5%,57,9.6%,,4,33.3%,35,-5.4%,,0,-100.0%,442,-14.3%,
,129,-11.0%,10,11.1%,22,-8.3%,12,-29.4%,,3,0.0%,112,12.0%,,14,16.7%,302,-2.6%,
,4,300.0%,2,100.0%,,,,,,,,,,,,,6,500.0%,
,100,-3.8%,3,50.0%,12,-14.3%,3,-50.0%,,,,55,14.6%,,1,0.0%,174,-0.6%,
,64,12.3%,4,33.3%,14,27.3%,9,0.0%,,2,0.0%,60,-10.4%,,4,300.0%,157,4.7%,
,55,31.0%,3,200.0%,3,50.0%,5,150.0%,,,,46,17.9%,,1,100.0%,113,31.4%,
,625,-7.5%,35,-10.3%,111,-9.0%,86,0.0%,,9,12.5%,308,5.8%,,20,25.0%,"1,194",-3.6%,
,415,-6.3%,9,-47.1%,80,-4.8%,47,-16.1%,,1,0.0%,5,-28.6%,,8,700.0%,565,-7.2%,
,19,-20.8%,1,0.0%,1,0.0%,1,0.0%,,0,-100.0%,17,30.8%,,1,0.0%,40,-4.8%,
,3,-40.0%,,,,,,,,,,,,,,,3,-40.0%,
,1,-50.0%,,,1,0.0%,,,,,,6,100.0%,,,,8,33.3%,
,22,4.8%,2,0.0%,2,-33.3%,2,0.0%,,,,9,0.0%,,1,0.0%,38,0.0%,
,14,40.0%,2,100.0%,,,2,0.0%,,,,9,50.0%,,0,-100.0%,27,35.0%,
,474,-6.1%,14,-33.3%,84,-5.6%,52,-14.8%,,1,-50.0%,46,21.1%,,10,150.0%,681,-5.4%,
,612,7.2%,96,-22.0%,126,-23.6%,40,-20.0%,,7,40.0%,14,75.0%,,8,166.7%,903,-2.4%,
,612,7.2%,96,-22.0%,126,-23.6%,40,-20.0%,,7,40.0%,14,75.0%,,8,166.7%,903,-2.4%,
,2,100.0%,,,,,,,,,,0,-100.0%,,0,-100.0%,2,-75.0%,
,0,-100.0%,,,0,-100.0%,,,,,,0,-100.0%,,,,0,-100.0%,
,1,100.0%,,,,,,,,,,,,,,,1,100.0%,
,1,100.0%,,,,,,,,,,,,,,,1,100.0%,
,0,-100.0%,0,-100.0%,0,-100.0%,,,,,,1,-50.0%,,1,100.0%,2,-80.0%,
,4,-20.0%,0,-100.0%,0,-100.0%,,,,,,1,-88.9%,,1,-50.0%,6,-72.7%,
,"11,852",-4.3%,717,-13.2%,"2,018",-1.5%,693,1.9%,,92,-1.1%,"2,358",-3.9%,,168,18.3%,"17,898",-3.9%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,,,,,
