Summer 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,573",-11.8%,436,-12.3%,497,-3.7%,,,"2,506",-10.4%,
Gender,Female,"1,159",-8.8%,316,-12.0%,335,-2.3%,,,"1,810",-8.3%,
,Male,414,-19.3%,120,-13.0%,162,-6.4%,,,696,-15.5%,
Ethnicity,White,"1,253",-14.1%,315,-13.2%,273,-3.2%,,,"1,841",-12.5%,
,Black,71,-14.5%,27,-3.6%,83,-1.2%,,,181,-7.2%,
,Hispanic,183,-0.5%,61,-1.6%,73,-6.4%,,,317,-2.2%,
,Asian,44,10.0%,10,25.0%,12,33.3%,,,66,15.8%,
,American Indian,8,0.0%,0,-100.0%,1,0.0%,,,9,-25.0%,
,International,8,14.3%,23,-30.3%,49,-7.5%,,,80,-14.0%,
,Unknown/Other,6,50.0%,,,6,-33.3%,,,12,-7.7%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,740,-11.7%,3,50.0%,,,,,743,-11.5%,
,22-25,787,-10.8%,219,-12.4%,26,44.4%,,,"1,032",-10.3%,
,26-30,32,-25.6%,113,-8.9%,101,-8.2%,,,246,-11.2%,
,31-39,6,-57.1%,61,-10.3%,178,-8.7%,,,245,-11.6%,
,40+,8,14.3%,40,-24.5%,192,-0.5%,,,240,-5.1%,
Enrollment,1st Time in College,10,0.0%,,,,,,,10,0.0%,
Status,1st Time PB,,,7,-65.0%,,,,,7,-65.0%,
,1st Time Graduate,,,85,-19.8%,24,-27.3%,,,109,-21.6%,
,1st Time Transfer,16,-40.7%,,,,,,,16,-40.7%,
,Readmitted,14,-12.5%,1,0.0%,2,-50.0%,,,17,-19.0%,
,Continuing,"1,533",-11.4%,343,-7.3%,471,-1.7%,,,"2,347",-9.0%,
Tuition,Resident Tuition,"1,527",-12.2%,389,-8.5%,384,-4.5%,,,"2,300",-10.4%,
Status,Non-Resident  Tuition,23,9.5%,13,-43.5%,17,-37.0%,,,53,-25.4%,
,Tuition Exemption/Waiver,23,0.0%,34,-30.6%,96,10.3%,,,153,-3.8%,
Residency,Texas Resident,"1,537",-12.2%,398,-8.3%,393,-5.5%,,,"2,328",-10.5%,
Status,"Non-TX, US Resident",28,7.7%,15,-50.0%,55,17.0%,,,98,-4.9%,
,"Non-TX, Non-US Resident",8,14.3%,23,-30.3%,49,-7.5%,,,80,-14.0%,
SCH,< 6 SCH,527,-10.4%,111,-13.3%,220,-6.8%,,,858,-9.9%,
Categories,6-8 SCH,565,-5.5%,150,0.0%,233,13.1%,,,948,-0.6%,
,9-11 SCH,261,-14.4%,134,-15.7%,34,-46.9%,,,429,-18.8%,
,12-14 SCH,192,-23.5%,37,-32.7%,9,0.0%,,,238,-24.4%,
,15-17 SCH,26,-29.7%,4,-20.0%,1,0.0%,,,31,-27.9%,
,>17 SCH,2,-60.0%,,,,,,,2,-60.0%,
Ft/Pt:,Less Than Half Time,63,6.8%,6,20.0%,129,-17.3%,,,198,-10.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","534
5","-13.2%
150.0%","14
0","-33.3%
-100.0%","42
1","100.0%
100.0%",,,"590
6","-10.2%
100.0%",
,Full-Time,971,-12.4%,416,-11.5%,325,-4.1%,,,"1,712",-10.7%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
