"Summer 2009
Headcount Total
TAMU Age                    <18
Categories                      18-21
22-25
Classification                 Freshman Sophomore
Tuition Status                Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status           Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
Ft/Pt: TAMU                Less Than Half Time
Status                             Half-Time
Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                          Dorm (On-campus)",White,,,,,Black,,,,,Hispanic,,,,,Asian,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,Tot,,
,,3,,19,22,,2,,1,3,,2,,3,5,,1,,1,,,,,1,1,2,,,2,,10,,24,,34,
,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,3,,19,22,,2,,,2,,2,,3,5,,1,,1,,,,,1,1,2,,,2,,10,,23,,33,
,,3,,19,22,,2,,1,3,,2,,2,4,,1,,1,,,,,1,1,2,,,2,,10,,23,,33,
,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,1,,1,
,,3,,18,21,,2,,1,3,,2,,3,5,,1,,1,,,,,,,2,,,2,,10,,22,,32,
,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,3,,18,21,,2,,1,3,,2,,3,5,,1,,1,,,,,,,2,,,2,,10,,22,,32,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,
,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2,,2,
,,3,,18,21,,2,,,2,,2,,3,5,,1,,1,,,,,,,2,,,2,,10,,21,,31,
,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,
,,3,,19,22,,2,,1,3,,2,,3,5,,1,,1,,,,,,,2,,,2,,10,,23,,33,
,,1,,5,6,,1,,1,2,,,,1,1,,,,,,,,,1,1,1,,,1,,3,,8,,11,
,,2,,14,16,,1,,,1,,2,,2,4,,1,,1,,,,,,,1,,,1,,7,,16,,23,
,,3,,15,18,,1,,1,2,,1,,,1,,1,,1,,,,,,,2,,,2,,8,,16,,24,
,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,
,,,,4,4,,1,,,1,,1,,3,4,,,,,,,,,,,,,,,,2,,7,,9,
,,3,,19,22,,2,,,2,,2,,3,5,,1,,1,,,,,1,1,2,,,2,,10,,23,,33,
,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
