Summer 2009,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
G. Bush,BUSH,25,19.0%,0,-100.0%,24,0.0%,,,0,-100.0%,
"School of
Govt",CAIA CHLS,,,"49
14","22.5%
-6.7%",,,,,"49
14","22.5%
-6.7%",
,CNPM,,,15,275.0%,,,,,15,275.0%,
,INTA,,,16,-20.0%,,,,,16,-20.0%,
,PSAA,,,16,100.0%,,,,,16,100.0%,
,Subtotal,,,110,17.0%,,,,,110,17.0%,
Geosciences,ATMO,,,18,-21.7%,,,,,42,-10.6%,
,ENGS,,,,,,,,,25,19.0%,
,ENST,18,20.0%,,,,,,,18,20.0%,
,GEOG,41,-19.6%,5,-44.4%,11,-26.7%,,,57,-24.0%,
,GEOL,63,34.0%,21,40.0%,17,13.3%,,,101,31.2%,
,GEOP,16,128.6%,4,300.0%,7,0.0%,,,27,80.0%,
,GEOS,,,0,-100.0%,,,,,0,-100.0%,
,METR,29,-32.6%,,,,,,,29,-32.6%,
,OCNG,,,27,8.0%,26,-21.2%,,,53,-8.6%,
,SPSG,2,-33.3%,,,,,,,2,-33.3%,
,USGE,2,100.0%,,,,,,,2,100.0%,
,WMHS,,,12,500.0%,5,25.0%,,,17,183.3%,
,Subtotal,196,4.8%,87,14.5%,90,-8.2%,,,373,3.3%,
Liberal Arts,AMST,2,-75.0%,,,,,,,2,-75.0%,
,ANTH,45,7.1%,11,22.2%,11,0.0%,,,67,8.1%,
,CLSS,2,100.0%,,,,,,,2,100.0%,
,COML,,,0,-100.0%,,,,,0,-100.0%,
,COMM,307,-4.7%,12,20.0%,24,-17.2%,,,343,-5.0%,
,ECON,194,4.3%,18,-14.3%,27,3.8%,,,239,2.6%,
,ENGL,197,-20.9%,11,-8.3%,38,-15.6%,,,246,-19.6%,
,FREN,5,-37.5%,,,,,,,5,-37.5%,
,GERM,1,-50.0%,,,,,,,1,-50.0%,
,HISP,,,4,100.0%,8,300.0%,,,12,500.0%,
,HIST,238,-7.8%,9,12.5%,8,0.0%,,,255,-6.9%,
,INTS,180,-1.1%,,,,,,,180,-1.1%,
,MODL,,,5,150.0%,,,,,5,150.0%,
,MUSC,5,25.0%,,,,,,,5,25.0%,
,NUTR,,,2,100.0%,1,0.0%,,,3,50.0%,
,PHIL,28,-22.2%,4,0.0%,5,25.0%,,,37,-15.9%,
,POLS,286,-7.7%,19,58.3%,36,-16.3%,,,341,-6.6%,
,PSYC,416,1.2%,29,7.4%,41,7.9%,,,486,2.1%,
,RUSS,1,-50.0%,,,,,,,1,-50.0%,
,SOCI,149,-11.3%,13,-13.3%,37,8.8%,,,199,-8.3%,
,SPAN,39,-11.4%,,,,,,,39,-11.4%,
,TCMS,31,-24.4%,,,,,,,31,-24.4%,
,THAR,12,-29.4%,,,,,,,12,-29.4%,
,Subtotal,"2,138",-6.6%,137,12.3%,236,-2.1%,,,"2,511",-5.4%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
Page 48,,,,,,,,,,,,
