"Summer 2009
Agriculture        TOXI USAL WFSC WISC WMHS
Subtotal Architecture      ARCH
COMG COSC COSL ENDL ENDS LAND LANL LDEV URPL URSC USAR VISL VIZA
Subtotal
Business            ACCT
Admin               AGBU BHNR BUAD EMBA FINC INFO MGMT MISY MKTG MLER USBU
Subtotal",White,,Black,,Hispanic,,Asian,,American Indian,,,International,,Unknown/Other,,,Total,,
,#,% chg,#,% chg,#,% chg,#,% chg,#,,% chg,#,% chg,#,,% chg,#,% chg,
,0,-100.0%,,,,,,,,,,1,-50.0%,,,,1,-75.0%,
,55,77.4%,7,250.0%,6,100.0%,0,-100.0%,,,,,,,,,68,78.9%,
,104,-13.3%,5,25.0%,29,7.4%,4,0.0%,,2,-33.3%,14,27.3%,,2,100.0%,160,-5.9%,
,4,0.0%,,,,,,,,,,,,,,,4,0.0%,
,5,66.7%,,,1,0.0%,,,,,,2,-33.3%,,,,8,14.3%,
,"2,125",-9.5%,112,-18.8%,346,3.3%,63,-7.4%,,17,-10.5%,299,-2.0%,,28,3.7%,"2,990",-7.7%,
,32,3.2%,1,-66.7%,4,0.0%,5,25.0%,,0,-100.0%,36,0.0%,,,,78,-1.3%,
,11,10.0%,,,,,1,100.0%,,,,38,-35.6%,,,,50,-27.5%,
,191,-19.4%,0,-100.0%,21,23.5%,2,-33.3%,,1,0.0%,2,100.0%,,1,-66.7%,218,-17.4%,
,56,-37.1%,1,-50.0%,6,-33.3%,3,200.0%,,2,100.0%,1,-50.0%,,1,100.0%,70,-32.7%,
,62,-6.1%,1,-66.7%,12,9.1%,4,-20.0%,,0,-100.0%,3,-50.0%,,,,82,-10.9%,
,39,-27.8%,0,-100.0%,8,-11.1%,3,-25.0%,,0,-100.0%,1,100.0%,,,,51,-27.1%,
,17,112.5%,0,-100.0%,0,-100.0%,0,-100.0%,,,,6,50.0%,,,,23,43.8%,
,15,25.0%,,,2,0.0%,1,100.0%,,,,,,,,,18,28.6%,
,8,-33.3%,0,-100.0%,2,100.0%,,,,,,12,100.0%,,1,100.0%,23,21.1%,
,5,150.0%,,,0,-100.0%,,,,,,10,-33.3%,,,,15,-16.7%,
,21,75.0%,2,100.0%,3,200.0%,3,100.0%,,1,0.0%,9,-18.2%,,,,39,50.0%,
,30,150.0%,2,100.0%,7,40.0%,2,100.0%,,2,100.0%,,,,,,43,126.3%,
,1,100.0%,,,,,,,,,,,,,,,1,100.0%,
,18,-33.3%,0,-100.0%,6,20.0%,3,200.0%,,,,7,133.3%,,1,100.0%,35,-5.4%,
,506,-11.5%,7,-58.8%,71,7.6%,27,35.0%,,6,-14.3%,125,-12.0%,,4,33.3%,746,-9.8%,
,417,3.0%,16,128.6%,44,-8.3%,35,29.6%,,4,33.3%,8,-27.3%,,3,50.0%,527,4.8%,
,2,-50.0%,,,0,-100.0%,,,,,,1,100.0%,,,,3,-40.0%,
,20,100.0%,,,1,100.0%,,,,,,,,,,,21,100.0%,
,226,-0.4%,12,-14.3%,19,-17.4%,15,-6.3%,,1,-75.0%,12,-36.8%,,5,100.0%,290,-4.3%,
,1,100.0%,,,,,,,,,,,,,,,1,100.0%,
,341,-4.2%,3,-75.0%,43,19.4%,27,8.0%,,4,100.0%,13,-7.1%,,1,-75.0%,432,-3.8%,
,71,65.1%,1,-66.7%,15,15.4%,9,80.0%,,,,2,-33.3%,,2,100.0%,100,47.1%,
,146,-17.5%,7,75.0%,19,-32.1%,6,-14.3%,,0,-100.0%,7,16.7%,,0,-100.0%,185,-17.8%,
,22,-50.0%,2,100.0%,4,33.3%,0,-100.0%,,,,24,-47.8%,,,,52,-44.7%,
,223,-5.5%,4,-33.3%,25,-3.8%,8,-27.3%,,2,100.0%,13,-7.1%,,,,275,-6.1%,
,33,-17.5%,0,-100.0%,0,-100.0%,0,-100.0%,,1,100.0%,1,100.0%,,0,-100.0%,35,-22.2%,
,51,131.8%,2,-33.3%,5,400.0%,1,0.0%,,,,2,100.0%,,,,61,117.9%,
,"1,553",-0.1%,47,-6.0%,175,-3.3%,101,7.4%,,12,9.1%,83,-27.2%,,11,22.2%,"1,982",-1.5%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,,,,,,,,
