Summer 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,290",7.7%,919,1.5%,687,-2.0%,,,"3,896",4.4%,
Gender,Female,453,6.8%,192,1.6%,129,-1.5%,,,774,4.0%,
,Male,"1,837",7.9%,727,1.5%,558,-2.1%,,,"3,122",4.5%,
Ethnicity,White,"1,544",7.6%,273,5.8%,136,27.1%,,,"1,953",8.5%,
,Black,67,-13.0%,15,-25.0%,14,16.7%,,,96,-11.9%,
,Hispanic,348,15.6%,30,0.0%,19,-24.0%,,,397,11.5%,
,Asian,131,12.0%,29,7.4%,10,-16.7%,,,170,9.0%,
,American Indian,10,-9.1%,,,1,0.0%,,,11,-8.3%,
,International,152,-1.9%,568,0.5%,503,-7.2%,,,"1,223",-3.1%,
,Unknown/Other,38,26.7%,4,-20.0%,4,100.0%,,,46,24.3%,
TAMU Age,<18,2,100.0%,,,,,,,2,100.0%,
Categories,18-21,"1,169",1.4%,2,100.0%,,,,,"1,171",1.5%,
,22-25,"1,007",17.0%,536,-1.7%,57,9.6%,,,"1,600",9.7%,
,26-30,85,-1.2%,297,6.1%,359,0.3%,,,741,2.3%,
,31-39,20,25.0%,75,-1.3%,246,-5.0%,,,341,-2.8%,
,40+,7,-30.0%,9,200.0%,25,-21.9%,,,41,-8.9%,
Enrollment,1st Time in College,34,-8.1%,,,,,,,34,-8.1%,
Status,1st Time PB,0,-100.0%,,,,,,,0,-100.0%,
,1st Time Graduate,,,37,-2.6%,27,107.7%,,,64,25.5%,
,1st Time Transfer,12,9.1%,,,,,,,12,9.1%,
,Readmitted,11,-8.3%,1,0.0%,,,,,12,-7.7%,
,Continuing,"2,233",8.2%,881,1.7%,660,-4.1%,,,"3,774",4.3%,
Tuition,Resident Tuition,"2,016",8.6%,254,6.3%,113,13.0%,,,"2,383",8.5%,
Status,Non-Resident  Tuition,139,-6.7%,171,-20.8%,88,-10.2%,,,398,-14.0%,
,Tuition Exemption/Waiver,135,12.5%,494,9.8%,486,-3.4%,,,"1,115",3.9%,
Residency,Texas Resident,"2,021",8.1%,255,4.1%,121,11.0%,,,"2,397",7.8%,
Status,"Non-TX, US Resident",115,17.3%,93,0.0%,63,28.6%,,,271,12.9%,
,"Non-TX, Non-US Resident",154,-2.5%,571,0.7%,503,-7.4%,,,"1,228",-3.2%,
SCH,< 6 SCH,855,1.3%,300,-23.9%,115,-16.1%,,,"1,270",-7.6%,
Categories,6-8 SCH,989,12.8%,601,24.9%,560,2.2%,,,"2,150",12.8%,
,9-11 SCH,340,19.3%,17,-34.6%,8,-42.9%,,,365,12.3%,
,12-14 SCH,103,-9.6%,1,-66.7%,4,300.0%,,,108,-8.5%,
,15-17 SCH,2,-66.7%,0,-100.0%,0,-100.0%,,,2,-75.0%,
,>17 SCH,1,100.0%,,,,,,,1,100.0%,
Ft/Pt:,Less Than Half Time,353,11.4%,122,-36.1%,71,-14.5%,,,546,-7.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","810
14","18.1%
100.0%","94
0","-8.7%
-100.0%",20,-16.7%,,,"924
14","13.7%
75.0%",
,Full-Time,"1,113",-0.3%,703,15.2%,596,0.3%,,,"2,412",4.0%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
