"Summer 2009
Head Count       Total
Gender               Female Male
Ethnicity            White Black Hispanic Asian
American Indian International Unknown/Other
TAMU Age       <18
Categories         18-21
22-25
26-30
31-39
40+
College              Agriculture Architecture Business Admin Education Engineering
G. Bush School of Govt Geosciences
Liberal Arts Science
Veterinary Medicine General Studies
Other - Special Populations
Student              Lower
Level                 Upper Masters PhD Professional
Tuition               Resident Tuition
Status                 Non-Resident Tuition Tuition Exemption/Waiver
Residency          Texas Resident
Status                 Non-TX, US Resident
Non-TX, Non-US Resident
SCH                   < 6 SCH
Categories         6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:                  Less Than Half Time
TAMU               Half-Time
Status                 Three-Quarter Time Full-Time",Undergraduate,,,,,Graduate,,,,Professional,,
,"1st Time in College
387
165
222
247
51
66
10
2
3
8
2
384
1
6
5
10
34
5
2
2
323
387
355
16
16
356
26
5
8
372
7
1
8
378","1st Time PB
2
1
1
2
1
1
2
2
2
2
1
1
1
1","1st Time Transfer
142
68
74
120
3
10
3
5
1
1
89
40
7
3
2
56
16
15
16
12
1
22
4
79
63
128
9
5
132
5
5
61
49
22
10
11
61
1
69","Readmitted
93
37
56
71
1
17
3
1
23
43
21
2
4
19
1
7
14
11
2
31
1
2
5
18
75
84
5
4
90
3
26
34
19
12
2
3
32
58","Continuing
11,638
5,674
5,964
8,746
433
1,503
536
74
238
108
2
6,248
4,978
291
81
38
2,031
506
1,522
1,533
2,233
193
2,080
554
409
575
2
1,689
9,949
10,912
373
353
10,970
427
241
4,209
4,672
1,661
995
80
21
960
4,236
45
6,397",1st Time PB,1st Time Graduate,Readmitted,Continuing,Readmitted,Continuing,
,,,,,,62,427,6,"4,999",1,141,
,,,,,,24,211,3,"2,069",,108,
,,,,,,38,216,3,"2,930",1,33,
,,,,,,50,280,4,"2,208",,124,
,,,,,,4,23,1,201,,,
,,,,,,2,46,,364,1,9,
,,,,,,2,16,,119,,4,
,,,,,,1,3,,11,,,
,,,,,,3,52,,"2,057",,,
,,,,,,,7,1,39,,4,
,,,,,,,15,,8,,1,
,,,,,,18,268,,"1,570",,59,
,,,,,,10,74,1,"1,869",1,65,
,,,,,,15,46,2,"1,140",,14,
,,,,,,19,24,3,412,,2,
,,,,,,2,27,1,846,,,
,,,,,,,24,,199,,,
,,,,,,,160,,273,,,
,,,,,,7,109,3,814,,,
,,,,,,,64,1,"1,541",,,
,,,,,,37,,,73,,,
,,,,,,,2,1,174,,,
,,,,,,2,22,,349,,,
,,,,,,11,13,,609,,,
,,,,,,2,6,,118,1,141,
,,,,,,1,,,3,,,
,,,,,,62,359,2,"2,661",,,
,,,,,,,68,4,"2,338",,,
,,,,,,,,,,1,141,
,,,,,,41,334,6,"2,133",1,128,
,,,,,,15,26,,480,,5,
,,,,,,6,67,,"2,386",,8,
,,,,,,45,337,6,"2,200",1,130,
,,,,,,14,37,,734,,11,
,,,,,,3,53,,"2,065",,,
,,,,,,38,110,4,"1,521",1,16,
,,,,,,19,136,2,"3,206",,125,
,,,,,,3,106,,195,,,
,,,,,,2,74,,69,,,
,,,,,,,1,,7,,,
,,,,,,,,,1,,,
,,,,,,1,4,2,585,1,1,
,,,,,,26,36,1,365,,1,
,,,,,,,1,,8,,,
,,,,,,35,386,3,"4,041",,139,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
