Summer 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,561,-11.5%,285,19.7%,348,-4.9%,,,"1,194",-3.6%,
Gender,Female,285,-17.4%,105,23.5%,112,-5.9%,,,502,-8.6%,
,Male,276,-4.5%,180,17.6%,236,-4.5%,,,692,0.4%,
Ethnicity,White,364,-13.7%,137,6.2%,124,-0.8%,,,625,-7.5%,
,Black,24,-17.2%,5,-16.7%,6,50.0%,,,35,-10.3%,
,Hispanic,78,-17.0%,20,100.0%,13,-27.8%,,,111,-9.0%,
,Asian,64,0.0%,9,12.5%,13,-7.1%,,,86,0.0%,
,American Indian,4,0.0%,1,100.0%,4,0.0%,,,9,12.5%,
,International,10,25.0%,112,31.8%,186,-6.1%,,,308,5.8%,
,Unknown/Other,17,30.8%,1,100.0%,2,-33.3%,,,20,25.0%,
TAMU Age,<18,1,0.0%,,,,,,,1,0.0%,
Categories,18-21,344,-15.1%,1,-50.0%,,,,,345,-15.2%,
,22-25,204,-6.4%,118,-8.5%,39,21.9%,,,361,-4.7%,
,26-30,7,16.7%,102,59.4%,205,-7.7%,,,314,7.5%,
,31-39,4,33.3%,40,66.7%,90,-8.2%,,,134,7.2%,
,40+,1,0.0%,24,26.3%,14,0.0%,,,39,14.7%,
Enrollment,1st Time in College,2,-60.0%,,,,,,,2,-60.0%,
Status,1st Time PB,0,-100.0%,11,57.1%,,,,,11,37.5%,
,1st Time Graduate,,,11,83.3%,2,0.0%,,,13,62.5%,
,1st Time Transfer,4,-20.0%,,,,,,,4,-20.0%,
,Readmitted,1,-75.0%,,,,,,,1,-75.0%,
,Continuing,554,-10.5%,263,16.9%,346,-4.9%,,,"1,163",-3.7%,
Tuition,Resident Tuition,506,-14.4%,117,24.5%,70,0.0%,,,693,-8.2%,
Status,Non-Resident  Tuition,43,30.3%,10,100.0%,15,36.4%,,,68,38.8%,
,Tuition Exemption/Waiver,12,20.0%,158,13.7%,263,-7.7%,,,433,-0.2%,
Residency,Texas Resident,506,-14.7%,118,21.6%,75,-2.6%,,,699,-8.9%,
Status,"Non-TX, US Resident",45,36.4%,54,0.0%,84,-3.4%,,,183,5.2%,
,"Non-TX, Non-US Resident",10,25.0%,113,29.9%,189,-6.4%,,,312,5.1%,
SCH,< 6 SCH,270,0.4%,77,22.2%,43,13.2%,,,390,5.4%,
Categories,6-8 SCH,214,-16.4%,207,23.2%,305,-6.4%,,,726,-3.2%,
,9-11 SCH,51,-20.3%,1,-80.0%,,,,,52,-24.6%,
,12-14 SCH,21,-47.5%,0,-100.0%,0,-100.0%,,,21,-52.3%,
,15-17 SCH,3,-25.0%,,,,,,,3,-25.0%,
,>17 SCH,2,100.0%,,,,,,,2,100.0%,
Ft/Pt:,Less Than Half Time,86,16.2%,6,-45.5%,15,36.4%,,,107,11.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","215
4","-8.1%
33.3%",50,127.3%,4,0.0%,,,"269
4","3.5%
33.3%",
,Full-Time,256,-20.7%,229,11.7%,329,-6.3%,,,814,-7.4%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
