Summer 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,114",-10.3%,480,0.0%,396,-1.5%,,,"2,990",-7.7%,
Gender,Female,"1,088",-5.2%,241,-4.0%,178,-2.7%,,,"1,507",-4.7%,
,Male,"1,026",-15.2%,239,4.4%,218,-0.5%,,,"1,483",-10.6%,
Ethnicity,White,"1,662",-10.6%,299,-10.2%,164,5.1%,,,"2,125",-9.5%,
,Black,84,-25.0%,12,33.3%,16,-5.9%,,,112,-18.8%,
,Hispanic,264,-4.7%,51,70.0%,31,10.7%,,,346,3.3%,
,Asian,57,-1.7%,4,-20.0%,2,-60.0%,,,63,-7.4%,
,American Indian,14,-12.5%,1,0.0%,2,0.0%,,,17,-10.5%,
,International,14,-12.5%,107,8.1%,178,-6.3%,,,299,-2.0%,
,Unknown/Other,19,-5.0%,6,100.0%,3,-25.0%,,,28,3.7%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,898,-6.4%,2,100.0%,,,,,900,-6.2%,
,22-25,"1,098",-12.9%,257,-9.5%,28,33.3%,,,"1,383",-11.6%,
,26-30,86,-12.2%,146,9.8%,172,-1.1%,,,404,-0.2%,
,31-39,23,-28.1%,53,29.3%,158,-5.4%,,,234,-2.5%,
,40+,9,0.0%,22,0.0%,38,-5.0%,,,69,-2.8%,
Enrollment,1st Time in College,6,50.0%,,,,,,,6,50.0%,
Status,1st Time PB,2,100.0%,2,-50.0%,,,,,4,-20.0%,
,1st Time Graduate,,,21,-19.2%,6,500.0%,,,27,0.0%,
,1st Time Transfer,56,0.0%,,,,,,,56,0.0%,
,Readmitted,19,-65.5%,,,1,100.0%,,,20,-63.6%,
,Continuing,"2,031",-9.4%,457,1.6%,389,-3.0%,,,"2,877",-7.0%,
Tuition,Resident Tuition,"1,992",-10.8%,281,-4.4%,135,0.0%,,,"2,408",-9.6%,
Status,Non-Resident  Tuition,57,32.6%,26,100.0%,28,-15.2%,,,111,24.7%,
,Tuition Exemption/Waiver,65,-19.8%,173,0.0%,233,-0.4%,,,471,-3.5%,
Residency,Texas Resident,"2,010",-10.8%,291,-3.3%,139,-1.4%,,,"2,440",-9.5%,
Status,"Non-TX, US Resident",90,2.3%,82,2.5%,79,11.3%,,,251,5.0%,
,"Non-TX, Non-US Resident",14,-12.5%,107,8.1%,178,-6.3%,,,299,-2.0%,
SCH,< 6 SCH,768,-4.4%,135,0.7%,74,0.0%,,,977,-3.4%,
Categories,6-8 SCH,853,-12.5%,326,6.5%,317,-1.9%,,,"1,496",-6.7%,
,9-11 SCH,295,-13.7%,16,-38.5%,4,33.3%,,,315,-15.1%,
,12-14 SCH,162,-22.9%,3,-76.9%,1,-50.0%,,,166,-26.2%,
,15-17 SCH,31,29.2%,0,-100.0%,,,,,31,24.0%,
,>17 SCH,5,25.0%,,,,,,,5,25.0%,
Ft/Pt:,Less Than Half Time,172,1.8%,57,18.8%,45,-6.3%,,,274,3.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","771
8","-13.6%
-11.1%","39
0","18.2%
-100.0%","13
4","18.2%
300.0%",,,"823
12","-12.1%
9.1%",
,Full-Time,"1,163",-9.7%,384,-3.5%,334,-2.3%,,,"1,881",-7.2%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
