Office of Institutional Studies and Planning,,,,,,,
Graduate Students,,,,,,,
Summer 2009,,,,,,,
Official Combined Summer DATA -- Certified,,,,,,,
Summer 2009,,"G6: PB
Non-Degree","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,123,"2,925","2,410",36,"5,494",
Gender,Female,50,"1,231","1,007",19,"2,307",
,Male,73,"1,694","1,403",17,"3,187",
Ethnicity,White,98,"1,520",915,9,"2,542",
,Black,5,74,147,3,229,
,Hispanic,9,223,175,5,412,
,Asian,5,79,51,2,137,
,American Indian,1,5,9,,15,
,International,4,"1,001","1,090",17,"2,112",
,Unknown/Other,1,23,23,,47,
TAMU Age,18-21,,23,,,23,
Categories,22-25,34,"1,626",184,12,"1,856",
,26-30,31,873,"1,039",11,"1,954",
,31-39,28,304,862,9,"1,203",
,40+,30,99,325,4,458,
College,Agriculture,5,465,396,10,876,
,Architecture,,187,36,,223,
,Business Admin,,380,53,,433,
,Education,9,424,497,3,933,
,Engineering,,917,687,2,"1,606",
,G. Bush School of Govt,79,31,,,110,
,Geosciences,2,84,90,1,177,
,Liberal Arts,3,133,236,1,373,
,Science,19,247,348,19,633,
,Veterinary Medicine,2,57,67,,126,
,Other - Special Populations,4,,,,4,
Enrollment,1st Time PB,62,,,,62,
Status,1st Time Graduate,,355,68,4,427,
,Readmitted,,2,4,,6,
,Continuing,61,"2,568","2,338",32,"4,999",
Tuition,Resident Tuition,93,"1,528",877,16,"2,514",
Status,Non-Resident Tuition,17,319,183,2,521,
,Tuition Exemption/Waiver,13,"1,078","1,350",18,"2,459",
Residency,Texas Resident,104,"1,557",912,15,"2,588",
Status,"Non-TX, US Resident",15,362,404,4,785,
,"Non-TX, Non-US Resident",4,"1,006","1,094",17,"2,121",
SCH,< 6 SCH,82,951,635,5,"1,673",
Categories,6-8 SCH,33,"1,593","1,706",31,"3,363",
,9-11 SCH,6,248,50,,304,
,12-14 SCH,2,126,17,,145,
,15-17 SCH,,6,2,,8,
,>17 SCH,,1,,,1,
Ft/Pt:,Less Than Half Time,1,266,324,1,592,
"TAMU
Status","Half-Time
Three-Quarter Time",57,"256
4","111
5",4,"428
9",
,Full-Time,65,"2,399","1,970",31,"4,465",
"Prepared by OISP, 08 Sep 09",,,,,,,
