Summer 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"12,262",-4.8%,"3,084",-0.9%,"2,410",-3.4%,142,5.2%,"17,898",-3.9%,
Gender,Female,"5,945",-4.7%,"1,300",-2.8%,"1,007",-2.3%,108,2.9%,"8,360",-4.1%,
,Male,"6,317",-4.9%,"1,784",0.6%,"1,403",-4.1%,34,13.3%,"9,538",-3.7%,
Ethnicity,White,"9,186",-5.0%,"1,627",-3.3%,915,0.7%,124,6.9%,"11,852",-4.3%,
,Black,488,-18.4%,82,-9.9%,147,8.1%,0,-100.0%,717,-13.2%,
,Hispanic,"1,596",-4.1%,237,20.9%,175,-1.7%,10,11.1%,"2,018",-1.5%,
,Asian,552,1.8%,86,13.2%,51,-7.3%,4,-42.9%,693,1.9%,
,American Indian,77,4.1%,6,0.0%,9,-25.0%,0,-100.0%,92,-1.1%,
,International,246,2.9%,"1,022",-1.8%,"1,090",-7.2%,,,"2,358",-3.9%,
,Unknown/Other,117,27.2%,24,26.3%,23,-23.3%,4,300.0%,168,18.3%,
TAMU Age,<18,5,0.0%,,,,,,,5,0.0%,
Categories,18-21,"6,744",-3.4%,23,9.5%,,,1,100.0%,"6,768",-3.4%,
,22-25,"5,063",-6.1%,"1,672",-6.7%,184,21.1%,59,-9.2%,"6,978",-5.7%,
,26-30,319,-10.1%,915,6.9%,"1,039",-3.3%,66,8.2%,"2,339",-0.3%,
,31-39,86,-15.7%,341,11.1%,862,-7.0%,14,100.0%,"1,303",-3.0%,
,40+,45,-4.3%,133,-1.5%,325,-4.4%,2,0.0%,505,-3.6%,
Enrollment,1st Time in College,387,-10.4%,,,,,,,387,-10.4%,
Status,1st Time PB,2,-66.7%,62,-6.1%,,,,,64,-11.1%,
,1st Time Graduate,,,359,5.0%,68,7.9%,,,427,5.4%,
,1st Time Transfer,142,-15.5%,,,,,,,142,-15.5%,
,Readmitted,93,-30.1%,2,0.0%,4,0.0%,1,100.0%,100,-28.1%,
,Continuing,"11,638",-4.2%,"2,661",-1.5%,"2,338",-3.7%,141,4.4%,"16,778",-3.6%,
Tuition,Resident Tuition,"11,481",-5.4%,"1,637",-0.9%,877,-0.6%,129,4.0%,"14,124",-4.5%,
Status,Non-Resident  Tuition,403,8.6%,338,-13.3%,183,-16.1%,5,400.0%,929,-5.2%,
,Tuition Exemption/Waiver,378,1.1%,"1,109",3.7%,"1,350",-3.2%,8,-20.0%,"2,845",-0.1%,
Residency,Texas Resident,"11,550",-5.4%,"1,676",-0.9%,912,-1.5%,131,4.8%,"14,269",-4.6%,
Status,"Non-TX, US Resident",461,8.5%,381,2.1%,404,4.1%,11,10.0%,"1,257",5.1%,
,"Non-TX, Non-US Resident",251,3.3%,"1,027",-1.8%,"1,094",-7.3%,,,"2,372",-3.9%,
SCH,< 6 SCH,"4,305",-0.2%,"1,038",-14.0%,635,-8.2%,17,21.4%,"5,995",-3.7%,
Categories,6-8 SCH,"5,127",-3.4%,"1,657",16.8%,"1,706",0.7%,125,5.0%,"8,615",0.9%,
,9-11 SCH,"1,709",-8.5%,254,-14.2%,50,-42.5%,0,-100.0%,"2,013",-10.6%,
,12-14 SCH,"1,018",-18.8%,128,-28.9%,17,-10.5%,0,-100.0%,"1,163",-20.0%,
,15-17 SCH,82,-32.2%,6,-25.0%,2,0.0%,,,90,-31.3%,
,>17 SCH,21,0.0%,1,0.0%,,,,,22,0.0%,
Ft/Pt:,Less Than Half Time,975,9.3%,268,-23.0%,324,-14.1%,2,100.0%,"1,569",-3.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","4,338
46","0.2%
64.3%","317
4","-12.2%
-63.6%","111
5","26.1%
150.0%",1,0.0%,"4,767
55","-0.2%
34.1%",
,Full-Time,"6,903",-9.6%,"2,495",4.3%,"1,970",-2.8%,139,4.5%,"11,507",-5.6%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
