Office of Institutional Studies and Planning,,,,,,,,,
Undergraduate Students,,,,,,,,,
Summer 2009,,,,,,,,,
Official Combined Summer DATA -- Certified,,,,,,,,,
Summer 2009,,"U0: UG
Non-Degree","U1:
Freshmen","U2:
Sophomore","U3:
Junior",U4: Senior,U5: Undergraduate PB,Grand Total,
Head Count,Total,160,626,"1,387","4,298","5,764",27,"12,262",
Gender,Female,77,270,630,"2,167","2,791",10,"5,945",
,Male,83,356,757,"2,131","2,973",17,"6,317",
Ethnicity,White,52,385,"1,003","3,311","4,417",18,"9,186",
,Black,10,83,70,163,162,,488,
,Hispanic,12,101,184,509,787,3,"1,596",
,Asian,7,24,76,212,230,3,552,
,American Indian,1,3,9,28,36,,77,
,International,4,21,41,63,115,2,246,
,Unknown/Other,74,9,4,12,17,1,117,
TAMU Age,<18,1,3,1,,,,5,
Categories,18-21,86,615,"1,327","3,150","1,566",,"6,744",
,22-25,57,6,48,"1,057","3,883",12,"5,063",
,26-30,12,2,5,66,225,9,319,
,31-39,3,,3,16,60,4,86,
,40+,1,,3,9,30,2,45,
College,Agriculture,31,23,184,799,"1,073",4,"2,114",
,Architecture,1,9,67,167,279,,523,
,Business Admin,3,17,111,693,725,,"1,549",
,Education,1,21,93,507,947,4,"1,573",
,Engineering,55,84,234,812,"1,093",12,"2,290",
,Geosciences,,3,21,61,111,,196,
,Liberal Arts,19,31,191,815,"1,076",6,"2,138",
,Science,45,13,63,182,257,1,561,
,Veterinary Medicine,5,20,53,135,200,,413,
,General Studies,,405,370,127,1,,903,
,Other - Special Populations,,,,,2,,2,
Enrollment,1st Time in College,,385,2,,,,387,
Status,1st Time PB,,,,,,2,2,
,1st Time Transfer,,5,74,60,3,,142,
,Readmitted,,2,16,21,54,,93,
,Continuing,160,234,"1,295","4,217","5,707",25,"11,638",
Tuition Status,Resident Tuition,69,557,"1,298","4,080","5,452",25,"11,481",
,Non-Resident Tuition,65,40,51,107,139,1,403,
,Tuition Exemption/Waiver,26,29,38,111,173,1,378,
Residency,Texas Resident,68,558,"1,305","4,099","5,495",25,"11,550",
Status,"Non-TX, US Resident",88,45,41,135,152,,461,
,"Non-TX, Non-US Resident",4,23,41,64,117,2,251,
SCH Categories,< 6 SCH,142,91,558,"1,421","2,083",10,"4,305",
,6-8 SCH,14,490,582,"1,849","2,180",12,"5,127",
,9-11 SCH,4,27,166,644,866,2,"1,709",
,12-14 SCH,,18,76,356,565,3,"1,018",
,15-17 SCH,,,4,21,57,,82,
,>17 SCH,,,1,7,13,,21,
Ft/Pt: TAMU,Less Than Half Time,116,10,74,270,502,3,975,
Status,Half-Time,30,112,618,"1,633","1,934",11,"4,338",
,Three-Quarter Time,,,7,21,17,1,46,
,Full-Time,14,504,688,"2,374","3,311",12,"6,903",
Top 10% Texas,No,149,523,970,"2,887","3,801",20,"8,350",
High School,Yes,11,103,417,"1,411","1,963",7,"3,912",
First Generation,No,30,426,961,"3,132","3,945",21,"8,515",
,Unknown,126,44,57,107,201,1,536,
,Yes,4,156,369,"1,059","1,618",5,"3,211",
"Prepared by OISP, 08 Sep 09",,,,,,,,,
