Summer 2009,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,138",-6.6%,137,12.3%,236,-2.1%,,,"2,511",-5.4%,
Gender,Female,"1,246",-7.6%,76,15.2%,141,4.4%,,,"1,463",-5.6%,
,Male,892,-5.3%,61,8.9%,95,-10.4%,,,"1,048",-5.1%,
Ethnicity,White,"1,627",-6.2%,77,14.9%,121,-6.9%,,,"1,825",-5.5%,
,Black,91,-13.3%,13,30.0%,22,69.2%,,,126,-1.6%,
,Hispanic,300,-10.4%,19,5.6%,35,52.2%,,,354,-5.9%,
,Asian,74,5.7%,3,50.0%,4,-42.9%,,,81,2.5%,
,American Indian,14,16.7%,1,0.0%,1,-66.7%,,,16,0.0%,
,International,15,-16.7%,19,-9.5%,51,-15.0%,,,85,-14.1%,
,Unknown/Other,17,13.3%,5,66.7%,2,-60.0%,,,24,4.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,104",-4.2%,1,100.0%,,,,,"1,105",-4.2%,
,22-25,954,-9.0%,66,20.0%,16,-15.8%,,,"1,036",-7.7%,
,26-30,59,-1.7%,42,-2.3%,115,9.5%,,,216,3.8%,
,31-39,13,-38.1%,22,29.4%,78,-11.4%,,,113,-10.3%,
,40+,8,0.0%,6,-14.3%,27,-6.9%,,,41,-6.8%,
Enrollment,1st Time in College,5,25.0%,,,,,,,5,25.0%,
Status,1st Time PB,,,2,100.0%,,,,,2,100.0%,
,1st Time Graduate,,,17,325.0%,5,-28.6%,,,22,100.0%,
,1st Time Transfer,22,-8.3%,,,,,,,22,-8.3%,
,Readmitted,31,0.0%,,,,,,,31,0.0%,
,Continuing,"2,080",-6.8%,118,0.9%,231,-1.3%,,,"2,429",-5.9%,
Tuition,Resident Tuition,"2,026",-6.9%,59,0.0%,104,10.6%,,,"2,189",-6.0%,
Status,Non-Resident  Tuition,54,5.9%,21,23.5%,19,-38.7%,,,94,-5.1%,
,Tuition Exemption/Waiver,58,-7.9%,57,23.9%,113,-2.6%,,,228,1.3%,
Residency,Texas Resident,"2,046",-6.7%,60,0.0%,109,10.1%,,,"2,215",-5.9%,
Status,"Non-TX, US Resident",77,-1.3%,58,41.5%,75,-7.4%,,,210,5.0%,
,"Non-TX, Non-US Resident",15,-16.7%,19,-9.5%,52,-14.8%,,,86,-14.0%,
SCH,< 6 SCH,634,2.8%,75,27.1%,133,-10.7%,,,842,2.1%,
Categories,6-8 SCH,898,-6.7%,55,-5.2%,101,14.8%,,,"1,054",-4.9%,
,9-11 SCH,329,-6.5%,2,0.0%,1,-66.7%,,,332,-7.0%,
,12-14 SCH,259,-20.6%,5,66.7%,1,0.0%,,,265,-19.7%,
,15-17 SCH,11,-59.3%,,,,,,,11,-59.3%,
,>17 SCH,7,16.7%,,,,,,,7,16.7%,
Ft/Pt:,Less Than Half Time,94,3.3%,21,75.0%,38,-20.8%,,,153,1.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","677
6","2.7%
200.0%","5
1","-44.4%
0.0%","20
0","33.3%
-100.0%",,,"702
7","2.8%
75.0%",
,Full-Time,"1,361",-11.5%,110,10.0%,178,0.6%,,,"1,649",-9.1%,
"Prepared by OISP, 08 Sep 09",,,,,,,,,,,,
