Office of Institutional Studies and Planning,,,,,
for the Corps of Cadets,,,,,
Summer 2009,,,,,
Official Combined Summer DATA -- Certified,,,,,
Summer 2009,,Not in Corps,In Corps,Grand Total,
Head Count,Total,"17,277",621,"17,898",
Gender,Female,"8,279",81,"8,360",
,Male,"8,998",540,"9,538",
Ethnicity,White,"11,347",505,"11,852",
,Black,709,8,717,
,Hispanic,"1,937",81,"2,018",
,Asian,676,17,693,
,American Indian,88,4,92,
,International,"2,354",4,"2,358",
,Unknown/Other,166,2,168,
TAMU Age,<18,5,,5,
Categories,18-21,"6,500",268,"6,768",
,22-25,"6,659",319,"6,978",
,26-30,"2,310",29,"2,339",
,31-39,"1,299",4,"1,303",
,40+,504,1,505,
College,Agriculture,"2,873",117,"2,990",
,Architecture,704,42,746,
,Business Admin,"1,940",42,"1,982",
,Education,"2,449",57,"2,506",
,Engineering,"3,766",130,"3,896",
,G. Bush School of Govt,102,8,110,
,Geosciences,355,18,373,
,Liberal Arts,"2,354",157,"2,511",
,Science,"1,184",10,"1,194",
,Veterinary Medicine,672,9,681,
,General Studies,872,31,903,
,Other - Special Populations,6,,6,
Enrollment,1st Time in College,386,1,387,
Status,1st Time PB,58,6,64,
,1st Time Graduate,423,4,427,
,1st Time Transfer,142,,142,
,Readmitted,96,4,100,
,Continuing,"16,172",606,"16,778",
Tuition,Resident Tuition,"13,579",545,"14,124",
Status,Non-Resident Tuition,924,5,929,
,Tuition Exemption/Waiver,"2,774",71,"2,845",
Residency,Texas Resident,"13,719",550,"14,269",
Status,"Non-TX, US Resident","1,190",67,"1,257",
,"Non-TX, Non-US Resident","2,368",4,"2,372",
SCH,< 6 SCH,"5,806",189,"5,995",
Categories,6-8 SCH,"8,367",248,"8,615",
,9-11 SCH,"1,909",104,"2,013",
,12-14 SCH,"1,089",74,"1,163",
,15-17 SCH,86,4,90,
,>17 SCH,20,2,22,
Ft/Pt:,Less Than Half Time,"1,524",45,"1,569",
TAMU,Half-Time,"4,574",193,"4,767",
Status,Three-Quarter Time,52,3,55,
,Full-Time,"11,127",380,"11,507",
"Prepared by OISP, 08 Sep 09",,,,,
