Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,302",3.1%,588,14.2%,441,-8.9%,,,"6,331",3.1%,
Gender,Female,"2,601",7.3%,299,15.4%,191,-12.0%,,,"3,091",6.6%,
,Male,"2,701",-0.6%,289,12.9%,250,-6.4%,,,"3,240",0.0%,
Ethnicity,White,"4,313",1.8%,414,11.3%,193,-11.9%,,,"4,920",1.9%,
,Black,168,8.4%,11,0.0%,20,17.6%,,,199,8.7%,
,Hispanic,598,15.7%,43,10.3%,32,23.1%,,,673,15.6%,
,Asian,133,3.1%,6,20.0%,4,-33.3%,,,143,2.1%,
,American Indian,31,-20.5%,5,25.0%,2,0.0%,,,38,-15.6%,
,International,44,-4.3%,103,27.2%,185,-10.2%,,,332,-0.3%,
,Unknown/Other,15,-21.1%,6,100.0%,5,-37.5%,,,26,-13.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"2,283",2.5%,,,,,,,"2,283",2.5%,
,22-25,"2,739",3.6%,267,11.7%,16,-23.8%,,,"3,022",4.1%,
,26-30,197,-2.5%,209,13.0%,171,-2.8%,,,577,2.5%,
,31-39,64,42.2%,77,18.5%,188,-10.5%,,,329,2.8%,
,40+,19,-20.8%,35,34.6%,66,-14.3%,,,120,-5.5%,
Enrollment,1st Time in College,8,0.0%,,,,,,,8,0.0%,
Status,1st Time PB,6,20.0%,15,150.0%,,,,,21,90.9%,
,1st Time Graduate,,,77,48.1%,13,-13.3%,,,90,34.3%,
,1st Time Transfer,233,11.5%,,,,,,,233,11.5%,
,Readmitted,82,34.4%,2,100.0%,1,100.0%,,,85,39.3%,
,Continuing,"4,973",2.3%,494,8.1%,427,-9.0%,,,"5,894",1.9%,
Tuition,Resident Tuition,"5,008",3.4%,373,13.0%,169,-8.6%,,,"5,550",3.6%,
Status,Non-Resident Tuition,99,-3.9%,21,0.0%,50,-2.0%,,,170,-2.9%,
,Tuition Exemption/Waiver,195,-0.5%,194,18.3%,222,-10.5%,,,611,0.5%,
Residency,Texas Resident,"5,061",3.2%,381,13.4%,173,-10.4%,,,"5,615",3.4%,
Status,"Non-TX, US Resident",196,1.6%,103,5.1%,83,-2.4%,,,382,1.6%,
,"Non-TX, Non-US Resident",45,-4.3%,104,28.4%,185,-10.2%,,,334,0.0%,
SCH,< 6 SCH,119,-0.8%,123,11.8%,98,4.3%,,,340,4.9%,
Categories,6-8 SCH,244,3.8%,52,15.6%,18,-33.3%,,,314,2.3%,
,9-11 SCH,326,-9.4%,388,17.9%,318,-9.7%,,,"1,032",-0.9%,
,12-14 SCH,"2,606",10.0%,21,-30.0%,6,-45.5%,,,"2,633",9.3%,
,15-17 SCH,"1,824",-2.7%,4,300.0%,1,100.0%,,,"1,829",-2.5%,
,>17 SCH,183,0.0%,,,,,,,183,0.0%,
Ft/Pt:,Less Than Half Time,99,8.8%,95,35.7%,78,-8.2%,,,272,10.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","238
319","7.2%
-9.1%",70,18.6%,36,50.0%,,,"344
319","12.8%
-9.1%",
,Full-Time,"4,646",3.8%,423,9.6%,327,-12.8%,,,"5,396",3.0%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
