Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,804",20.0%,,,,,,,"3,804",20.0%,
Gender,Female,"1,610",13.9%,,,,,,,"1,610",13.9%,
,Male,"2,194",24.9%,,,,,,,"2,194",24.9%,
Ethnicity,White,"2,850",19.4%,,,,,,,"2,850",19.4%,
,Black,165,17.0%,,,,,,,165,17.0%,
,Hispanic,546,20.5%,,,,,,,546,20.5%,
,Asian,186,33.8%,,,,,,,186,33.8%,
,American Indian,28,16.7%,,,,,,,28,16.7%,
,International,27,35.0%,,,,,,,27,35.0%,
,Unknown/Other,2,-66.7%,,,,,,,2,-66.7%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"3,622",22.0%,,,,,,,"3,622",22.0%,
,22-25,175,-8.4%,,,,,,,175,-8.4%,
,26-30,4,-33.3%,,,,,,,4,-33.3%,
,31-39,1,100.0%,,,,,,,1,100.0%,
,40+,2,0.0%,,,,,,,2,0.0%,
Enrollment,1st Time in College,14,16.7%,,,,,,,14,16.7%,
Status,1st Time PB,,,,,,,,,,,
,1st Time Graduate,,,,,,,,,,,
,1st Time Transfer,59,110.7%,,,,,,,59,110.7%,
,Readmitted,40,0.0%,,,,,,,40,0.0%,
,Continuing,"3,691",19.5%,,,,,,,"3,691",19.5%,
Tuition,Resident Tuition,"3,626",20.5%,,,,,,,"3,626",20.5%,
Status,Non-Resident Tuition,100,28.2%,,,,,,,100,28.2%,
,Tuition Exemption/Waiver,78,-6.0%,,,,,,,78,-6.0%,
Residency,Texas Resident,"3,659",20.5%,,,,,,,"3,659",20.5%,
Status,"Non-TX, US Resident",118,7.3%,,,,,,,118,7.3%,
,"Non-TX, Non-US Resident",27,22.7%,,,,,,,27,22.7%,
SCH,< 6 SCH,499,41.0%,,,,,,,499,41.0%,
Categories,6-8 SCH,89,61.8%,,,,,,,89,61.8%,
,9-11 SCH,68,28.3%,,,,,,,68,28.3%,
,12-14 SCH,"1,989",20.2%,,,,,,,"1,989",20.2%,
,15-17 SCH,"1,138",10.8%,,,,,,,"1,138",10.8%,
,>17 SCH,21,-16.0%,,,,,,,21,-16.0%,
Ft/Pt:,Less Than Half Time,498,41.5%,,,,,,,498,41.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","88
66","60.0%
26.9%",,,,,,,"88
66","60.0%
26.9%",
,Full-Time,"3,152",16.3%,,,,,,,"3,152",16.3%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
