"Spring 2008
Headcount Total
TAMU Age                    18-21
Categories                      22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,,Tot,F,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,To,t,
,,70,,53,123,,,3,3,,14,,9,23,,2,,3,5,1,1,2,2,1,3,1,1,,2,,90,,71,,161,
,,55,,33,88,,,3,3,,8,,7,15,,1,,2,3,1,1,2,2,,2,1,1,,2,,68,,47,,115,
,,13,,12,25,,,,,,3,,2,5,,1,,1,2,,,,,1,1,,,,,,17,,16,,33,
,,1,,5,6,,,,,,3,,,3,,,,,,,,,,,,,,,,,4,,5,,9,
,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,
,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,,7,,3,10,,,,,,1,,1,2,,,,1,1,,,,,,,1,,,1,,9,,5,,14,
,,51,,32,83,,,2,2,,7,,7,14,,2,,,2,1,,1,2,,2,,1,,1,,63,,42,,105,
,,12,,17,29,,,1,1,,6,,1,7,,,,2,2,,1,1,,1,1,,,,,,18,,23,,41,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,68,,52,120,,,3,3,,14,,8,22,,2,,3,5,1,1,2,,,,1,1,,2,,86,,68,,154,
,,1,,1,2,,,,,,,,1,1,,,,,,,,,2,1,3,,,,,,3,,3,,6,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,69,,52,121,,,3,3,,14,,8,22,,2,,3,5,1,1,2,,,,1,1,,2,,87,,68,,155,
,,1,,1,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,1,,2,,3,
,,,,,,,,,,,,,,,,,,,,,,,2,1,3,,,,,,2,,1,,3,
,,1,,,1,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,2,,1,,3,
,,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,
,,3,,2,5,,,,,,1,,,1,,,,,,1,,1,1,,1,,,,,,6,,2,,8,
,,41,,22,63,,,3,3,,10,,8,18,,1,,2,3,,,,1,1,2,1,,,1,,54,,36,,90,
,,23,,28,51,,,,,,3,,,3,,,,1,1,,1,1,,,,,1,,1,,26,,31,,57,
,,1,,,1,,,,,,,,1,1,,1,,,1,,,,,,,,,,,,2,,1,,3,
,,2,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,3,
,,3,,2,5,,,,,,1,,,1,,,,,,1,,1,1,,1,,,,,,6,,2,,8,
,,64,,50,114,,,3,3,,13,,8,21,,1,,3,4,,1,1,1,1,2,1,1,,2,,80,,67,,147,
,,69,,50,119,,,3,3,,14,,9,23,,2,,2,4,1,1,2,2,1,3,1,1,,2,,89,,67,,156,
,,1,,3,4,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,4,,5,
,,51,,35,86,,,3,3,,6,,7,13,,2,,3,5,,1,1,,,,1,1,,2,,60,,50,,110,
,,,,,,,,,,,,,,,,,,,,,,,2,1,3,,,,,,2,,1,,3,
,,19,,18,37,,,,,,8,,2,10,,,,,,1,,1,,,,,,,,,28,,20,,48,
,,63,,42,105,,,2,2,,11,,7,18,,2,,3,5,1,1,2,1,1,2,1,1,,2,,79,,57,,136,
,,7,,11,18,,,1,1,,3,,2,5,,,,,,,,,1,,1,,,,,,11,,14,,25,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
