"Spring 2008
Headcount Total
TAMU Age                    18-21
Categories                      22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,Black,,,,,Hispanic,,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,
,F,,M,Tot,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,,To,t,
,,90,106,196,,3,,3,6,,16,,9,25,,1,,1,2,1,,1,2,1,3,,,,113,,120,,233,
,,54,45,99,,1,,1,2,,11,,3,14,,,,,,,,,1,1,2,,,,67,,50,,117,
,,32,54,86,,2,,2,4,,4,,5,9,,,,1,1,,,,,,,,,,38,,62,,100,
,,4,3,7,,,,,,,1,,1,2,,,,,,,,,1,,1,,,,6,,4,,10,
,,,3,3,,,,,,,,,,,,1,,,1,,,,,,,,,,1,,3,,4,
,,,1,1,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,1,,2,
,,3,5,8,,,,,,,,,,,,,,,,,,,1,,1,,,,4,,5,,9,
,,52,67,119,,1,,2,3,,9,,4,13,,,,,,,,,,1,1,,,,62,,74,,136,
,,31,31,62,,1,,1,2,,6,,4,10,,1,,1,2,1,,1,1,,1,,,,41,,37,,78,
,,4,3,7,,1,,,1,,1,,1,2,,,,,,,,,,,,,,,6,,4,,10,
,,88,102,190,,3,,3,6,,16,,9,25,,1,,1,2,1,,1,,,,,,,109,,115,,224,
,,2,3,5,,,,,,,,,,,,,,,,,,,1,1,2,,,,3,,4,,7,
,,,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,,2,
,,88,104,192,,3,,3,6,,16,,9,25,,1,,1,2,1,,1,,,,,,,109,,117,,226,
,,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,4,
,,,,,,,,,,,,,,,,,,,,,,,2,1,3,,,,2,,1,,3,
,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,
,,2,3,5,,,,,,,,,,,,,,,,,,,,1,1,,,,2,,4,,6,
,,6,8,14,,,,,,,,,,,,,,,,,,,,,,,,,6,,8,,14,
,,47,59,106,,1,,3,4,,12,,5,17,,1,,1,2,,,,1,,1,,,,62,,68,,130,
,,33,34,67,,2,,,2,,3,,4,7,,,,,,1,,1,1,,1,,,,40,,38,,78,
,,1,,1,,,,,,,1,,,1,,,,,,,,,,,,,,,2,,,,2,
,,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,
,,2,3,5,,,,,,,,,,,,,,,,,,,,1,1,,,,2,,4,,6,
,,6,8,14,,,,,,,,,,,,,,,,,,,,,,,,,6,,8,,14,
,,81,93,174,,3,,3,6,,16,,9,25,,1,,1,2,1,,1,2,,2,,,,104,,106,,210,
,,86,105,191,,3,,3,6,,16,,7,23,,1,,1,2,1,,1,2,1,3,,,,109,,117,,226,
,,4,1,5,,,,,,,,,2,2,,,,,,,,,,,,,,,4,,3,,7,
,,58,61,119,,1,,2,3,,8,,6,14,,1,,1,2,1,,1,1,,1,,,,70,,70,,140,
,,2,3,5,,,,,,,,,,,,,,,,,,,1,1,2,,,,3,,4,,7,
,,30,42,72,,2,,1,3,,8,,3,11,,,,,,,,,,,,,,,40,,46,,86,
,,87,103,190,,2,,3,5,,15,,9,24,,1,,1,2,1,,1,1,1,2,,,,107,,117,,224,
,,3,3,6,,1,,,1,,1,,,1,,,,,,,,,1,,1,,,,6,,3,,9,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
