Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"2,024",-1.3%,339,15.7%,360,-8.2%,,,"2,723",-0.5%,
Gender,Female,"1,120",-3.1%,126,9.6%,115,-0.9%,,,"1,361",-1.9%,
,Male,904,1.0%,213,19.7%,245,-11.2%,,,"1,362",1.0%,
Ethnicity,White,"1,405",-3.3%,167,9.9%,123,-8.9%,,,"1,695",-2.6%,
,Black,69,-2.8%,8,-20.0%,1,-50.0%,,,78,-6.0%,
,Hispanic,288,3.6%,14,-6.7%,21,0.0%,,,323,2.9%,
,Asian,229,9.0%,15,7.1%,17,6.3%,,,261,8.8%,
,American Indian,15,25.0%,,,4,0.0%,,,19,18.8%,
,International,17,-22.7%,134,32.7%,190,-9.5%,,,341,2.4%,
,Unknown/Other,1,-80.0%,1,0.0%,4,0.0%,,,6,-40.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,374",-3.0%,1,-50.0%,,,,,"1,375",-3.1%,
,22-25,623,4.5%,158,24.4%,28,-42.9%,,,809,4.8%,
,26-30,20,-20.0%,114,2.7%,215,-2.3%,,,349,-2.0%,
,31-39,4,-60.0%,44,12.8%,102,-8.1%,,,150,-6.3%,
,40+,3,0.0%,22,57.1%,15,25.0%,,,40,37.9%,
Enrollment,1st Time in College,6,0.0%,,,,,,,6,0.0%,
Status,1st Time PB,0,-100.0%,5,66.7%,,,,,5,25.0%,
,1st Time Graduate,,,11,-8.3%,9,800.0%,,,20,53.8%,
,1st Time Transfer,25,0.0%,,,,,,,25,0.0%,
,Readmitted,6,-14.3%,0,-100.0%,,,,,6,-25.0%,
,Continuing,"1,987",-1.2%,323,16.6%,351,-10.2%,,,"2,661",-0.7%,
Tuition,Resident Tuition,"1,892",-1.5%,125,11.6%,74,2.8%,,,"2,091",-0.6%,
Status,Non-Resident Tuition,48,9.1%,13,-18.8%,9,-35.7%,,,70,-5.4%,
,Tuition Exemption/Waiver,84,-3.4%,201,21.8%,277,-9.5%,,,562,0.7%,
Residency,Texas Resident,"1,931",-1.1%,131,12.9%,79,1.3%,,,"2,141",-0.3%,
Status,"Non-TX, US Resident",75,0.0%,72,-4.0%,87,-13.0%,,,234,-6.4%,
,"Non-TX, Non-US Resident",18,-21.7%,136,33.3%,194,-9.3%,,,348,2.7%,
SCH,< 6 SCH,16,14.3%,41,24.2%,11,-8.3%,,,68,15.3%,
Categories,6-8 SCH,40,-29.8%,14,16.7%,2,100.0%,,,56,-20.0%,
,9-11 SCH,91,-15.7%,282,18.0%,344,-9.2%,,,717,-1.2%,
,12-14 SCH,"1,047",2.1%,1,-88.9%,3,100.0%,,,"1,051",1.6%,
,15-17 SCH,770,0.1%,1,100.0%,,,,,771,0.3%,
,>17 SCH,60,-23.1%,,,,,,,60,-23.1%,
Ft/Pt:,Less Than Half Time,14,27.3%,34,54.5%,9,-18.2%,,,57,29.5%,
"TAMU
Status","Half-Time
Three-Quarter Time","37
77","-31.5%
-23.8%",21,16.7%,2,100.0%,,,"60
77","-17.8%
-23.8%",
,Full-Time,"1,896",0.6%,284,12.3%,349,-8.2%,,,"2,529",0.4%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
