Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"6,765",2.6%,"1,356",16.1%,860,-7.1%,,,"8,981",3.4%,
Gender,Female,"1,215",1.2%,265,13.2%,147,5.0%,,,"1,627",3.3%,
,Male,"5,550",3.0%,"1,091",16.8%,713,-9.3%,,,"7,354",3.4%,
Ethnicity,White,"5,045",2.4%,405,6.3%,140,-6.0%,,,"5,590",2.4%,
,Black,163,-5.8%,27,-25.0%,17,6.3%,,,207,-8.0%,
,Hispanic,870,3.3%,59,13.5%,29,16.0%,,,958,4.2%,
,Asian,362,10.7%,42,-2.3%,20,-13.0%,,,424,7.9%,
,American Indian,30,11.1%,2,100.0%,2,0.0%,,,34,13.3%,
,International,276,1.8%,818,26.0%,649,-8.5%,,,"1,743",7.0%,
,Unknown/Other,19,-17.4%,3,-50.0%,3,50.0%,,,25,-19.4%,
TAMU Age,<18,1,-66.7%,,,,,,,1,-66.7%,
Categories,18-21,"4,011",2.9%,1,-50.0%,,,,,"4,012",2.9%,
,22-25,"2,504",1.9%,736,15.9%,52,2.0%,,,"3,292",4.7%,
,26-30,196,6.5%,479,21.3%,403,0.2%,,,"1,078",9.9%,
,31-39,39,18.2%,123,10.8%,361,-13.4%,,,523,-6.8%,
,40+,14,-6.7%,17,-32.0%,44,-21.4%,,,75,-21.9%,
Enrollment,1st Time in College,25,-3.8%,,,,,,,25,-3.8%,
Status,1st Time PB,4,0.0%,11,-35.3%,,,,,15,-28.6%,
,1st Time Graduate,,,111,0.9%,32,33.3%,,,143,6.7%,
,1st Time Transfer,145,13.3%,,,,,,,145,13.3%,
,Readmitted,32,28.0%,3,50.0%,1,-75.0%,,,36,16.1%,
,Continuing,"6,559",2.4%,"1,231",18.5%,827,-7.9%,,,"8,617",3.3%,
Tuition,Resident Tuition,"6,069",2.5%,394,2.3%,135,1.5%,,,"6,598",2.4%,
Status,Non-Resident Tuition,287,-3.4%,313,46.3%,139,2.2%,,,739,14.2%,
,Tuition Exemption/Waiver,409,10.2%,649,14.1%,586,-10.8%,,,"1,644",2.9%,
Residency,Texas Resident,"6,169",2.7%,403,1.0%,138,-0.7%,,,"6,710",2.6%,
Status,"Non-TX, US Resident",318,1.9%,130,12.1%,71,-9.0%,,,519,2.6%,
,"Non-TX, Non-US Resident",278,1.1%,823,26.0%,651,-8.2%,,,"1,752",7.0%,
SCH,< 6 SCH,109,-12.1%,168,-2.3%,124,2.5%,,,401,-3.8%,
Categories,6-8 SCH,122,-2.4%,74,8.8%,10,-58.3%,,,206,-5.1%,
,9-11 SCH,260,-2.3%,"1,029",20.5%,697,-7.8%,,,"1,986",5.9%,
,12-14 SCH,"3,222",2.7%,79,12.9%,26,52.9%,,,"3,327",3.2%,
,15-17 SCH,"2,798",2.0%,5,25.0%,3,-57.1%,,,"2,806",1.9%,
,>17 SCH,254,28.9%,1,100.0%,0,-100.0%,,,255,28.8%,
Ft/Pt:,Less Than Half Time,50,35.1%,130,4.0%,106,7.1%,,,286,9.6%,
"TAMU
Status","Half-Time
Three-Quarter Time","118
251","-3.3%
-2.0%",90,5.9%,20,-25.9%,,,"228
251","-2.6%
-2.0%",
,Full-Time,"6,346",2.8%,"1,136",18.6%,734,-8.3%,,,"8,216",3.6%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
