Spring 2008,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Engineering      AERL
AERO BMEL BMEN CECL CECN CEEL CEEN CHEL CHEN CPEN CPSC CPSL CVEL CVEN ELEL ELEN ENGR ENTC ENTL HLPH IDIL IDIS INEL INEN ITDE MEEL MEEN NUEL NUEN OCEL OCEN PETE PETL RHEL RHEN SENG",,"199
251
123
146
82
86
37
53
205
271
1
164
137
163
517
154
248
2
155
135
12
117
301
88
189
3
291
625
82
114
52
139
260
168
13
6
1","-6.6%
7.7%
4.2%
11.5%
-10.9%
-9.5%
-31.5%
-11.7%
9.6%
14.3%
0.0%
-15.0%
22.3%
-5.8%
-3.4%
6.2%
-7.8%
0.0%
-5.5%
20.5%
20.0%
-10.7%
-3.8%
-3.3%
6.8%
-25.0%
-8.8%
7.9%
60.8%
-5.8%
8.3%
40.4%
31.3%
-1.8%
62.5%
-45.5%
0.0%","12
5
11
4
6
6
5
2
9
5
6
2
6
8
18
14
4
5
1
5
6
10
7
1
4
20
2
4
0
3
13
2
1","71.4%
-16.7%
-8.3%
100.0%
-40.0%
50.0%
-37.5%
0.0%
-18.2%
-50.0%
-33.3%
-66.7%
100.0%
0.0%
-18.2%
7.7%
0.0%
25.0%
0.0%
150.0%
-53.8%
150.0%
-30.0%
-50.0%
-20.0%
-9.1%
-66.7%
300.0%
-100.0%
50.0%
8.3%
0.0%
100.0%","62
32
18
21
24
13
19
11
43
42
18
18
37
82
38
47
30
29
3
21
35
25
67
47
73
7
9
8
24
29
17
6
3","-3.1%
3.2%
-14.3%
5.0%
-20.0%
44.4%
58.3%
-21.4%
-6.5%
13.5%
12.5%
-14.3%
-17.8%
13.9%
-20.8%
9.3%
42.9%
7.4%
200.0%
50.0%
29.6%
13.6%
39.6%
-11.3%
-2.7%
-12.5%
-10.0%
60.0%
26.3%
3.6%
-29.2%
20.0%
0.0%","11
9
15
25
13
12
8
15
22
28
1
16
4
11
23
26
27
9
12
0
14
5
15
11
38
6
8
2
7
19
8
3
1","0.0%
0.0%
-31.8%
-7.4%
18.2%
71.4%
-27.3%
36.4%
46.7%
47.4%
0.0%
-5.9%
-20.0%
120.0%
-8.0%
0.0%
0.0%
50.0%
33.3%
-100.0%
-12.5%
-28.6%
50.0%
-21.4%
18.8%
100.0%
-11.1%
-33.3%
0.0%
5.6%
14.3%
50.0%
-50.0%","0
1
1
2
2
1
1
2
3
1
0
1
2
3
2
2
4
3
0
1
1
1","-100.0%
0.0%
100.0%
-33.3%
0.0%
0.0%
-50.0%
100.0%
0.0%
100.0%
-100.0%
100.0%
100.0%
50.0%
100.0%
-33.3%
0.0%
200.0%
-100.0%
0.0%
100.0%
0.0%","4
52
4
44
1
49
6
74
9
127
4
131
8
2
188
16
317
3
3
1
0
2
0
8
172
6
235
3
24
1
33
178
36
2","-42.9%
-14.8%
-50.0%
7.3%
-50.0%
6.5%
100.0%
68.2%
-43.8%
5.8%
-42.9%
-8.4%
100.0%
0.0%
9.3%
45.5%
3.6%
-57.1%
0.0%
-75.0%
-100.0%
100.0%
-100.0%
-27.3%
45.8%
-14.3%
-0.8%
200.0%
9.1%
100.0%
10.0%
11.9%
16.1%
100.0%","0
2
0
3
1
1
0
2
1
2
2
1
0
0
1
1
1
3
2
0
1
1","-100.0%
100.0%
-100.0%
50.0%
0.0%
100.0%
-100.0%
0.0%
0.0%
100.0%
100.0%
0.0%
-100.0%
-100.0%
-66.7%
100.0%
0.0%
-50.0%
0.0%
-100.0%
-66.7%
0.0%","288
351
171
243
128
167
76
155
292
476
6
338
172
221
821
252
655
5
201
183
16
147
359
137
453
4
362
998
105
159
63
207
501
233
23
10
3","-5.0%
3.2%
-7.1%
9.0%
-12.9%
3.7%
-14.6%
18.3%
4.3%
11.7%
-33.3%
-11.1%
13.9%
-3.5%
0.7%
0.0%
-0.6%
-44.4%
0.5%
17.3%
14.3%
-2.6%
-4.3%
-0.7%
24.8%
-33.3%
-10.0%
4.5%
52.2%
-3.0%
6.8%
31.0%
19.9%
-1.7%
53.3%
-37.5%
200.0%",
,Subtotal,"5,590",2.4%,207,-8.0%,958,4.2%,424,7.9%,34,13.3%,"1,743",7.0%,25,-19.4%,"8,981",3.4%,
G. Bush,BUSH,56,30.2%,2,-33.3%,6,-40.0%,4,100.0%,0,-100.0%,8,14.3%,2,100.0%,72,14.3%,
School of,CAIA,55,27.9%,5,400.0%,7,40.0%,,,,,1,0.0%,,,74,45.1%,
Govt,CHLS,27,17.4%,1,100.0%,4,300.0%,,,,,,,,,32,28.0%,
,CNPM,5,100.0%,,,,,,,,,,,,,5,100.0%,
,INTA,61,7.0%,3,50.0%,3,-25.0%,2,-50.0%,1,0.0%,10,100.0%,2,100.0%,82,12.3%,
,Subtotal,204,22.9%,11,83.3%,20,0.0%,6,50.0%,1,-50.0%,19,46.2%,4,300.0%,265,25.0%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,,,
