Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,,,265,25.0%,,,,,265,25.0%,
Gender,Female,,,100,12.4%,,,,,100,12.4%,
,Male,,,165,34.1%,,,,,165,34.1%,
Ethnicity,White,,,204,22.9%,,,,,204,22.9%,
,Black,,,11,83.3%,,,,,11,83.3%,
,Hispanic,,,20,0.0%,,,,,20,0.0%,
,Asian,,,6,50.0%,,,,,6,50.0%,
,American Indian,,,1,-50.0%,,,,,1,-50.0%,
,International,,,19,46.2%,,,,,19,46.2%,
,Unknown/Other,,,4,300.0%,,,,,4,300.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,,,1,100.0%,,,,,1,100.0%,
,22-25,,,116,11.5%,,,,,116,11.5%,
,26-30,,,75,23.0%,,,,,75,23.0%,
,31-39,,,36,28.6%,,,,,36,28.6%,
,40+,,,37,94.7%,,,,,37,94.7%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,40,81.8%,,,,,40,81.8%,
,1st Time Graduate,,,1,0.0%,,,,,1,0.0%,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,,,224,18.5%,,,,,224,18.5%,
Tuition,Resident Tuition,,,182,21.3%,,,,,182,21.3%,
Status,Non-Resident Tuition,,,5,0.0%,,,,,5,0.0%,
,Tuition Exemption/Waiver,,,78,36.8%,,,,,78,36.8%,
Residency,Texas Resident,,,199,26.8%,,,,,199,26.8%,
Status,"Non-TX, US Resident",,,47,11.9%,,,,,47,11.9%,
,"Non-TX, Non-US Resident",,,19,46.2%,,,,,19,46.2%,
SCH,< 6 SCH,,,74,60.9%,,,,,74,60.9%,
Categories,6-8 SCH,,,35,12.9%,,,,,35,12.9%,
,9-11 SCH,,,25,31.6%,,,,,25,31.6%,
,12-14 SCH,,,128,14.3%,,,,,128,14.3%,
,15-17 SCH,,,3,0.0%,,,,,3,0.0%,
,>17 SCH,,,0,-100.0%,,,,,0,-100.0%,
Ft/Pt:,Less Than Half Time,,,73,92.1%,,,,,73,92.1%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,36,71.4%,,,,,36,71.4%,
,Full-Time,,,156,2.0%,,,,,156,2.0%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
