Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
G. Bush,BUSH,48,-5.9%,72,14.3%,25,-10.7%,,,72,14.3%,
"School of
Govt",CAIA CHLS,,,"74
32","45.1%
28.0%",,,,,"74
32","45.1%
28.0%",
,CNPM,,,5,100.0%,,,,,5,100.0%,
,INTA,,,82,12.3%,,,,,82,12.3%,
,Subtotal,,,265,25.0%,,,,,265,25.0%,
Geosciences,ATMO,,,28,-6.7%,,,,,53,-8.6%,
,ENGS,,,,,,,,,48,-5.9%,
,ENST,33,17.9%,,,,,,,33,17.9%,
,ESCI,1,100.0%,,,,,,,1,100.0%,
,GEOG,100,-11.5%,19,-26.9%,33,3.1%,,,152,-11.1%,
,GEOL,130,21.5%,37,27.6%,19,-32.1%,,,186,13.4%,
,GEOP,28,33.3%,14,16.7%,12,9.1%,,,54,22.7%,
,GEOS,,,3,0.0%,,,,,3,0.0%,
,METR,133,-1.5%,,,,,,,133,-1.5%,
,OCNG,,,30,-3.2%,38,11.8%,,,68,4.6%,
,SPSG,7,75.0%,,,,,,,7,75.0%,
,Subtotal,480,4.6%,131,0.0%,127,-4.5%,,,738,2.1%,
Liberal Arts,AMST,15,7.1%,,,,,,,15,7.1%,
,ANTH,130,5.7%,61,3.4%,47,-7.8%,,,238,2.1%,
,CLSS,6,100.0%,,,,,,,6,100.0%,
,COML,,,4,-33.3%,,,,,4,-33.3%,
,COMM,814,9.1%,20,11.1%,52,15.6%,,,886,9.5%,
,ECON,433,-4.2%,56,27.3%,55,-19.1%,,,544,-3.5%,
,ENGL,632,-7.9%,39,11.4%,82,-1.2%,,,753,-6.3%,
,FREN,19,26.7%,,,,,,,19,26.7%,
,GERM,4,33.3%,,,,,,,4,33.3%,
,HISP,,,7,75.0%,19,26.7%,,,26,36.8%,
,HIST,673,2.6%,21,-22.2%,43,2.4%,,,737,1.7%,
,INTS,452,2.5%,,,,,,,452,2.5%,
,JOUR,0,-100.0%,,,,,,,0,-100.0%,
,MODL,,,7,0.0%,0,-100.0%,,,7,-12.5%,
,MUSC,24,-7.7%,,,,,,,24,-7.7%,
,PHIL,85,-18.3%,20,25.0%,5,-28.6%,,,110,-13.4%,
,POLS,810,-6.4%,16,166.7%,44,-20.0%,,,870,-6.0%,
,PSYC,"1,050",6.4%,30,0.0%,49,2.1%,,,"1,129",6.0%,
,RUSS,6,-33.3%,,,,,,,6,-33.3%,
,SOCI,336,3.7%,34,21.4%,51,-3.8%,,,421,4.0%,
,SPAN,86,1.2%,,,,,,,86,1.2%,
,TCMS,148,-11.9%,,,,,,,148,-11.9%,
,THAR,49,-2.0%,,,,,,,49,-2.0%,
,Subtotal,"5,772",0.2%,315,12.5%,447,-4.5%,,,"6,534",0.4%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
