Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,939",0.6%,605,13.3%,679,-2.0%,,,"5,223",1.6%,
Gender,Female,"2,955",0.8%,439,12.0%,461,-1.7%,,,"3,855",1.7%,
,Male,984,0.1%,166,16.9%,218,-2.7%,,,"1,368",1.4%,
Ethnicity,White,"3,286",-0.7%,440,11.4%,364,-5.7%,,,"4,090",0.0%,
,Black,116,2.7%,34,17.2%,100,13.6%,,,250,8.7%,
,Hispanic,425,6.0%,69,21.1%,111,0.9%,,,605,6.5%,
,Asian,73,23.7%,10,42.9%,13,-13.3%,,,96,18.5%,
,American Indian,16,33.3%,4,300.0%,4,0.0%,,,24,41.2%,
,International,11,10.0%,48,9.1%,78,-3.7%,,,137,1.5%,
,Unknown/Other,12,9.1%,0,-100.0%,9,0.0%,,,21,0.0%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,977",11.8%,0,-100.0%,,,,,"1,977",11.6%,
,22-25,"1,830",-7.9%,291,15.9%,19,11.8%,,,"2,140",-5.1%,
,26-30,80,-14.0%,147,14.8%,116,-2.5%,,,343,0.9%,
,31-39,31,-11.4%,96,14.3%,245,-2.4%,,,372,0.5%,
,40+,21,-30.0%,71,4.4%,299,-2.3%,,,391,-3.2%,
Enrollment,1st Time in College,2,-50.0%,,,,,,,2,-50.0%,
Status,1st Time PB,0,-100.0%,14,-33.3%,,,,,14,-36.4%,
,1st Time Graduate,,,92,48.4%,12,-36.8%,,,104,28.4%,
,1st Time Transfer,112,-8.9%,,,,,,,112,-8.9%,
,Readmitted,17,-32.0%,3,0.0%,7,40.0%,,,27,-18.2%,
,Continuing,"3,808",1.2%,496,10.7%,660,-1.3%,,,"4,964",1.8%,
Tuition,Resident Tuition,"3,841",0.8%,506,14.5%,534,-1.8%,,,"4,881",1.8%,
Status,Non-Resident Tuition,38,-2.6%,37,42.3%,26,-25.7%,,,101,1.0%,
,Tuition Exemption/Waiver,60,-9.1%,62,-6.1%,119,4.4%,,,241,-2.0%,
Residency,Texas Resident,"3,868",0.7%,513,14.3%,550,-2.3%,,,"4,931",1.6%,
Status,"Non-TX, US Resident",60,-6.3%,44,7.3%,51,4.1%,,,155,0.6%,
,"Non-TX, Non-US Resident",11,10.0%,48,9.1%,78,-3.7%,,,137,1.5%,
SCH,< 6 SCH,34,-17.1%,122,0.8%,324,-2.7%,,,480,-3.0%,
Categories,6-8 SCH,381,1.3%,195,33.6%,84,-11.6%,,,660,7.0%,
,9-11 SCH,203,-20.1%,204,3.6%,235,2.6%,,,642,-5.6%,
,12-14 SCH,"1,764",11.7%,71,20.3%,33,3.1%,,,"1,868",11.9%,
,15-17 SCH,"1,425",-4.4%,12,9.1%,3,-25.0%,,,"1,440",-4.4%,
,>17 SCH,132,-23.7%,1,100.0%,,,,,133,-23.1%,
Ft/Pt:,Less Than Half Time,34,-12.8%,88,6.0%,254,-0.4%,,,376,-0.3%,
"TAMU
Status","Half-Time
Three-Quarter Time","96
188","-10.3%
-10.5%",226,72.5%,152,2.0%,,,"474
188","22.5%
-10.5%",
,Full-Time,"3,621",1.8%,291,-9.1%,273,-5.5%,,,"4,185",0.4%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
