Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"1,606",-1.4%,66,-4.3%,54,-11.5%,505,0.0%,"2,231",-1.4%,
Gender,Female,"1,082",-0.7%,43,-10.4%,37,8.8%,374,0.3%,"1,536",-0.6%,
,Male,524,-2.6%,23,9.5%,17,-37.0%,131,-0.8%,695,-3.2%,
Ethnicity,White,"1,161",0.1%,45,-2.2%,25,-3.8%,442,-0.9%,"1,673",-0.3%,
,Black,47,11.9%,2,-33.3%,1,0.0%,1,-50.0%,51,6.3%,
,Hispanic,234,-8.9%,3,-40.0%,4,33.3%,35,2.9%,276,-7.7%,
,Asian,154,0.7%,2,-33.3%,2,0.0%,18,12.5%,176,1.1%,
,American Indian,7,-36.4%,1,-50.0%,,,2,100.0%,10,-28.6%,
,International,2,-33.3%,11,10.0%,22,-21.4%,,,35,-14.6%,
,Unknown/Other,1,-50.0%,2,100.0%,0,-100.0%,7,16.7%,10,11.1%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"1,200",3.0%,,,,,1,0.0%,"1,201",3.0%,
,22-25,397,-12.7%,29,-9.4%,2,100.0%,244,3.8%,672,-7.1%,
,26-30,6,20.0%,25,8.7%,19,-20.8%,212,0.0%,262,-0.8%,
,31-39,1,-50.0%,9,-30.8%,26,4.0%,42,-10.6%,78,-10.3%,
,40+,2,100.0%,3,200.0%,7,-36.4%,6,-40.0%,18,-21.7%,
Enrollment,1st Time in College,8,33.3%,,,,,,,8,33.3%,
Status,1st Time PB,,,1,0.0%,,,,,1,0.0%,
,1st Time Graduate,,,3,0.0%,0,-100.0%,,,3,-40.0%,
,1st Time Transfer,2,-60.0%,,,,,,,2,-60.0%,
,Readmitted,3,100.0%,,,,,,,3,100.0%,
,Continuing,"1,593",-1.5%,62,-4.6%,54,-8.5%,505,0.0%,"2,214",-1.4%,
Tuition,Resident Tuition,"1,547",-0.6%,42,-10.6%,25,8.7%,468,0.6%,"2,082",-0.4%,
Status,Non-Resident Tuition,26,8.3%,3,-40.0%,3,0.0%,6,-14.3%,38,-2.6%,
,Tuition Exemption/Waiver,33,-31.3%,21,23.5%,26,-25.7%,31,-6.1%,111,-16.5%,
Residency,Texas Resident,"1,557",-2.0%,45,-6.3%,25,0.0%,475,1.3%,"2,102",-1.3%,
Status,"Non-TX, US Resident",47,27.0%,10,-9.1%,7,-12.5%,30,-16.7%,94,2.2%,
,"Non-TX, Non-US Resident",2,-33.3%,11,10.0%,22,-21.4%,,,35,-14.6%,
SCH,< 6 SCH,12,-14.3%,17,6.3%,12,0.0%,,,41,-2.4%,
Categories,6-8 SCH,35,-23.9%,7,-36.4%,2,0.0%,,,44,-25.4%,
,9-11 SCH,67,-6.9%,32,-8.6%,35,-20.5%,,,134,-11.3%,
,12-14 SCH,766,-2.0%,6,-14.3%,4,33.3%,,,776,-2.0%,
,15-17 SCH,695,2.5%,4,100.0%,1,100.0%,,,700,3.2%,
,>17 SCH,31,-13.9%,,,,,505,0.0%,536,-0.9%,
Ft/Pt:,Less Than Half Time,11,-21.4%,10,0.0%,7,40.0%,,,28,-3.4%,
"TAMU
Status","Half-Time
Three-Quarter Time","35
67","-23.9%
-4.3%",14,27.3%,7,-12.5%,,,"56
67","-13.8%
-4.3%",
,Full-Time,"1,493",-0.3%,42,-12.5%,40,-16.7%,505,0.0%,"2,080",-0.9%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
