Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"5,772",0.2%,315,12.5%,447,-4.5%,,,"6,534",0.4%,
Gender,Female,"3,488",0.0%,160,3.2%,238,2.1%,,,"3,886",0.2%,
,Male,"2,284",0.6%,155,24.0%,209,-11.1%,,,"2,648",0.6%,
Ethnicity,White,"4,520",-2.3%,178,9.2%,249,0.0%,,,"4,947",-1.8%,
,Black,186,1.6%,17,54.5%,25,19.0%,,,228,6.0%,
,Hispanic,806,10.4%,41,17.1%,42,-10.6%,,,889,9.5%,
,Asian,180,22.4%,10,-47.4%,11,22.2%,,,201,14.9%,
,American Indian,39,34.5%,3,100.0%,3,0.0%,,,45,40.6%,
,International,23,-8.0%,62,29.2%,108,-15.6%,,,193,-4.0%,
,Unknown/Other,18,-5.3%,4,0.0%,9,-18.2%,,,31,-8.8%,
TAMU Age,<18,0,-100.0%,,,,,,,0,-100.0%,
Categories,18-21,"3,106",2.6%,0,-100.0%,,,,,"3,106",2.6%,
,22-25,"2,498",-2.5%,117,1.7%,20,-20.0%,,,"2,635",-2.5%,
,26-30,113,3.7%,121,40.7%,161,-14.4%,,,395,3.1%,
,31-39,38,-2.6%,54,5.9%,183,2.8%,,,275,2.6%,
,40+,17,-22.7%,23,-14.8%,83,7.8%,,,123,-2.4%,
Enrollment,1st Time in College,10,-28.6%,,,,,,,10,-28.6%,
Status,1st Time PB,1,100.0%,4,-20.0%,,,,,5,0.0%,
,1st Time Graduate,,,10,25.0%,6,200.0%,,,16,60.0%,
,1st Time Transfer,161,-10.1%,,,,,,,161,-10.1%,
,Readmitted,43,53.6%,0,-100.0%,0,-100.0%,,,43,43.3%,
,Continuing,"5,557",0.3%,301,13.2%,441,-5.2%,,,"6,299",0.5%,
Tuition,Resident Tuition,"5,471",0.8%,136,4.6%,192,1.1%,,,"5,799",0.9%,
Status,Non-Resident Tuition,119,-9.8%,44,10.0%,53,12.8%,,,216,-1.4%,
,Tuition Exemption/Waiver,182,-9.5%,135,22.7%,202,-12.6%,,,519,-4.2%,
Residency,Texas Resident,"5,526",0.5%,142,2.2%,198,1.5%,,,"5,866",0.5%,
Status,"Non-TX, US Resident",222,-3.9%,111,19.4%,140,-3.4%,,,473,0.9%,
,"Non-TX, Non-US Resident",24,-14.3%,62,29.2%,109,-14.8%,,,195,-4.4%,
SCH,< 6 SCH,69,-27.4%,45,9.8%,115,23.7%,,,229,0.0%,
Categories,6-8 SCH,137,-14.9%,20,-13.0%,19,35.7%,,,176,-11.1%,
,9-11 SCH,315,-12.5%,236,14.6%,306,-13.6%,,,857,-6.8%,
,12-14 SCH,"2,369",4.0%,13,44.4%,5,-28.6%,,,"2,387",4.1%,
,15-17 SCH,"2,620",1.6%,0,-100.0%,1,100.0%,,,"2,621",1.6%,
,>17 SCH,262,-9.3%,1,100.0%,1,100.0%,,,264,-8.7%,
Ft/Pt:,Less Than Half Time,68,-13.9%,37,23.3%,96,28.0%,,,201,9.2%,
"TAMU
Status","Half-Time
Three-Quarter Time","134
311","-14.1%
-10.4%",28,7.7%,38,35.7%,,,"200
311","-4.8%
-10.4%",
,Full-Time,"5,259",1.6%,250,11.6%,313,-14.2%,,,"5,822",1.0%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
