Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,49,-2.0%,210,40.9%,144,-8.9%,,,403,12.9%,
Gender,Female,26,18.2%,114,46.2%,72,-16.3%,,,212,14.0%,
,Male,23,-17.9%,96,35.2%,72,0.0%,,,191,11.7%,
Ethnicity,White,3,100.0%,98,24.1%,48,-5.9%,,,149,14.6%,
,Black,,,5,66.7%,4,0.0%,,,9,28.6%,
,Hispanic,1,100.0%,10,25.0%,5,25.0%,,,16,33.3%,
,Asian,2,100.0%,4,-20.0%,4,33.3%,,,10,25.0%,
,American Indian,,,,,,,,,,,
,International,43,-14.0%,89,67.9%,82,-12.8%,,,214,8.6%,
,Unknown/Other,,,4,300.0%,1,-50.0%,,,5,66.7%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,15,7.1%,0,-100.0%,,,,,15,0.0%,
,22-25,33,0.0%,116,73.1%,8,-11.1%,,,157,44.0%,
,26-30,1,-66.7%,57,16.3%,67,-15.2%,,,125,-4.6%,
,31-39,,,34,21.4%,56,-1.8%,,,90,5.9%,
,40+,,,3,-25.0%,13,0.0%,,,16,-5.9%,
Enrollment,1st Time in College,,,,,,,,,,,
Status,1st Time PB,,,24,84.6%,,,,,24,84.6%,
,1st Time Graduate,,,22,144.4%,2,-50.0%,,,24,84.6%,
,1st Time Transfer,,,,,,,,,,,
,Readmitted,,,,,,,,,,,
,Continuing,49,-2.0%,164,29.1%,142,-7.8%,,,355,7.3%,
Tuition,Resident Tuition,3,100.0%,96,23.1%,41,-6.8%,,,140,14.8%,
Status,Non-Resident Tuition,46,-8.0%,30,50.0%,15,36.4%,,,91,12.3%,
,Tuition Exemption/Waiver,,,84,64.7%,88,-14.6%,,,172,11.7%,
Residency,Texas Resident,3,100.0%,98,24.1%,45,0.0%,,,146,17.7%,
Status,"Non-TX, US Resident",,,22,29.4%,17,-10.5%,,,39,8.3%,
,"Non-TX, Non-US Resident",46,-8.0%,90,69.8%,82,-12.8%,,,218,10.7%,
SCH,< 6 SCH,1,100.0%,44,7.3%,18,28.6%,,,63,14.5%,
Categories,6-8 SCH,,,17,70.0%,3,-25.0%,,,20,42.9%,
,9-11 SCH,,,132,55.3%,116,-14.1%,,,248,12.7%,
,12-14 SCH,23,-11.5%,15,15.4%,2,-50.0%,,,40,-7.0%,
,15-17 SCH,22,4.8%,2,100.0%,5,400.0%,,,29,31.8%,
,>17 SCH,3,0.0%,,,,,,,3,0.0%,
Ft/Pt:,Less Than Half Time,,,39,50.0%,12,9.1%,,,51,37.8%,
"TAMU
Status","Half-Time
Three-Quarter Time",,,20,25.0%,8,100.0%,,,28,40.0%,
,Full-Time,49,-2.0%,151,41.1%,124,-13.3%,,,324,8.0%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
