Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"3,910",0.8%,744,4.5%,63,-8.7%,,,"4,717",1.2%,
Gender,Female,"2,082",-1.0%,311,3.3%,20,-23.1%,,,"2,413",-0.7%,
,Male,"1,828",2.9%,433,5.4%,43,0.0%,,,"2,304",3.3%,
Ethnicity,White,"3,200",-0.8%,526,8.7%,30,0.0%,,,"3,756",0.5%,
,Black,95,25.0%,9,-35.7%,2,0.0%,,,106,15.2%,
,Hispanic,401,3.6%,45,4.7%,1,-50.0%,,,447,3.5%,
,Asian,172,21.1%,32,-11.1%,2,0.0%,,,206,14.4%,
,American Indian,19,-5.0%,2,0.0%,,,,,21,-4.5%,
,International,16,-27.3%,122,-3.9%,26,-16.1%,,,164,-8.9%,
,Unknown/Other,7,-12.5%,8,33.3%,2,0.0%,,,17,6.3%,
TAMU Age,<18,,,,,,,,,,,
Categories,18-21,"2,449",0.0%,5,66.7%,,,,,"2,454",0.1%,
,22-25,"1,416",2.0%,490,4.7%,4,100.0%,,,"1,910",2.8%,
,26-30,24,14.3%,107,-1.8%,19,-9.5%,,,150,-0.7%,
,31-39,12,-29.4%,83,5.1%,32,-13.5%,,,127,-4.5%,
,40+,9,50.0%,59,11.3%,8,-11.1%,,,76,11.8%,
Enrollment,1st Time in College,9,12.5%,,,,,,,9,12.5%,
Status,1st Time PB,,,0,-100.0%,,,,,0,-100.0%,
,1st Time Graduate,,,106,41.3%,,,,,106,41.3%,
,1st Time Transfer,1,100.0%,,,,,,,1,100.0%,
,Readmitted,17,41.7%,,,,,,,17,41.7%,
,Continuing,"3,883",0.6%,638,0.3%,63,-8.7%,,,"4,584",0.4%,
Tuition,Resident Tuition,"3,799",1.2%,589,7.9%,17,0.0%,,,"4,405",2.1%,
Status,Non-Resident Tuition,42,-12.5%,25,-13.8%,3,-40.0%,,,70,-14.6%,
,Tuition Exemption/Waiver,69,-12.7%,130,-5.1%,43,-8.5%,,,242,-8.0%,
Residency,Texas Resident,"3,832",1.1%,588,7.7%,20,-4.8%,,,"4,440",1.9%,
Status,"Non-TX, US Resident",60,-11.8%,33,-10.8%,17,0.0%,,,110,-9.8%,
,"Non-TX, Non-US Resident",18,-21.7%,123,-4.7%,26,-16.1%,,,167,-8.7%,
SCH,< 6 SCH,26,-3.7%,15,50.0%,4,-33.3%,,,45,4.7%,
Categories,6-8 SCH,99,-22.0%,150,82.9%,,,,,249,19.1%,
,9-11 SCH,264,-19.3%,204,-16.0%,55,-12.7%,,,523,-17.4%,
,12-14 SCH,"2,198",9.8%,266,2.3%,4,100.0%,,,"2,468",9.2%,
,15-17 SCH,"1,276",-4.6%,34,-24.4%,,,,,"1,310",-5.2%,
,>17 SCH,47,-23.0%,75,4.2%,,,,,122,-8.3%,
Ft/Pt:,Less Than Half Time,21,0.0%,7,16.7%,4,-33.3%,,,32,-3.0%,
"TAMU
Status","Half-Time
Three-Quarter Time","88
236","-17.8%
-18.3%",77,37.5%,,,,,"165
236","1.2%
-18.3%",
,Full-Time,"3,565",2.9%,660,1.5%,59,-6.3%,,,"4,284",2.6%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
