"Spring 2008
Headcount Total
TAMU Age                    18-21
Categories                      22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,,Hispanic,,,,Asian,,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,,
,F,,M,,Tot,F,M,,Tot,F,,M,Tot,F,,M,,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,,M,,To,t,
,,10,,79,89,,,4,4,,6,13,19,,1,,8,9,,,,4,19,23,,1,,1,,21,,124,,145,
,,6,,41,47,,,2,2,,3,7,10,,1,,7,8,,,,3,12,15,,1,,1,,13,,70,,83,
,,2,,31,33,,,,,,3,5,8,,,,1,1,,,,1,5,6,,,,,,6,,42,,48,
,,2,,4,6,,,2,2,,,,,,,,,,,,,,1,1,,,,,,2,,7,,9,
,,,,2,2,,,,,,,1,1,,,,,,,,,,1,1,,,,,,,,4,,4,
,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,
,,,,5,5,,,,,,,,,,,,,,,,,3,3,6,,,,,,3,,8,,11,
,,4,,44,48,,,1,1,,4,6,10,,1,,3,4,,,,1,9,10,,,,,,10,,63,,73,
,,5,,24,29,,,3,3,,1,7,8,,,,4,4,,,,,6,6,,1,,1,,6,,45,,51,
,,1,,6,7,,,,,,1,,1,,,,1,1,,,,,,,,,,,,2,,7,,9,
,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,1,
,,9,,71,80,,,4,4,,6,12,18,,1,,7,8,,,,,1,1,,,,,,16,,95,,111,
,,,,6,6,,,,,,,1,1,,,,1,1,,,,4,16,20,,1,,1,,4,,25,,29,
,,1,,2,3,,,,,,,,,,,,,,,,,,2,2,,,,,,1,,4,,5,
,,10,,74,84,,,4,4,,6,13,19,,1,,7,8,,,,,,,,,,,,17,,98,,115,
,,,,5,5,,,,,,,,,,,,,,,,,,,,,1,,1,,,,6,,6,
,,,,,,,,,,,,,,,,,1,1,,,,4,19,23,,,,,,4,,20,,24,
,,,,2,2,,,,,,,,,,,,,,,,,,1,1,,,,,,,,3,,3,
,,1,,6,7,,,,,,,,,,,,,,,,,,2,2,,,,,,1,,8,,9,
,,1,,4,5,,,1,1,,,,,,,,,,,,,1,,1,,,,,,2,,5,,7,
,,7,,50,57,,,3,3,,4,11,15,,1,,3,4,,,,3,11,14,,1,,1,,15,,79,,94,
,,1,,17,18,,,,,,2,2,4,,,,5,5,,,,,5,5,,,,,,3,,29,,32,
,,,,2,2,,,,,,,,,,,,,,,,,,1,1,,,,,,,,3,,3,
,,1,,6,7,,,,,,,,,,,,,,,,,,2,2,,,,,,1,,8,,9,
,,1,,4,5,,,1,1,,,,,,,,,,,,,1,,1,,,,,,2,,5,,7,
,,8,,67,75,,,3,3,,6,13,19,,1,,8,9,,,,3,16,19,,1,,1,,18,,108,,126,
,,9,,73,82,,,4,4,,5,12,17,,1,,6,7,,,,4,19,23,,1,,1,,19,,115,,134,
,,1,,6,7,,,,,,1,1,2,,,,2,2,,,,,,,,,,,,2,,9,,11,
,,7,,50,57,,,3,3,,6,5,11,,1,,4,5,,,,,1,1,,,,,,14,,63,,77,
,,,,1,1,,,,,,,,,,,,,,,,,4,18,22,,1,,1,,4,,20,,24,
,,3,,28,31,,,1,1,,,8,8,,,,4,4,,,,,,,,,,,,3,,41,,44,
,,8,,67,75,,,2,2,,4,12,16,,,,8,8,,,,2,11,13,,1,,1,,14,,101,,115,
,,2,,12,14,,,2,2,,2,1,3,,1,,,1,,,,2,8,10,,,,,,7,,23,,30,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
