"Spring 2008
Headcount Total
TAMU Age                    18-21
Categories                      22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,Black,,,,Hispanic,,,,Asian,,,,American Indian,,,International,,,Unknown/Other,,,,Grand Total,,,,,
,F,M,Tot,F,,M,Tot,F,,M,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,,F,M,,To,t,
,290,334,624,,6,11,17,,45,40,85,,7,16,23,3,1,4,11,22,33,2,2,,4,364,,426,,790,
,213,177,390,,2,7,9,,28,22,50,,4,10,14,2,1,3,7,14,21,2,2,,4,258,,233,,491,
,67,125,192,,4,2,6,,11,15,26,,2,6,8,,,,2,6,8,,,,,86,,154,,240,
,8,21,29,,,2,2,,6,2,8,,,,,,,,1,1,2,,,,,15,,26,,41,
,1,8,9,,,,,,,1,1,,1,,1,,,,1,1,2,,,,,3,,10,,13,
,1,3,4,,,,,,,,,,,,,1,,1,,,,,,,,2,,3,,5,
,20,15,35,,,,,,2,2,4,,,1,1,,,,4,3,7,1,,,1,27,,21,,48,
,181,206,387,,2,6,8,,22,22,44,,5,5,10,2,,2,3,11,14,1,1,,2,216,,251,,467,
,83,100,183,,3,5,8,,18,14,32,,2,9,11,1,1,2,4,7,11,,1,,1,111,,137,,248,
,6,13,19,,1,,1,,3,2,5,,,1,1,,,,,,,,,,,10,,16,,26,
,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,
,281,319,600,,6,11,17,,45,38,83,,7,14,21,3,1,4,,1,1,2,1,,3,344,,385,,729,
,6,11,17,,,,,,,2,2,,,2,2,,,,9,18,27,,1,,1,15,,34,,49,
,3,4,7,,,,,,,,,,,,,,,,2,3,5,,,,,5,,7,,12,
,285,325,610,,6,11,17,,45,39,84,,7,14,21,3,1,4,,,,2,1,,3,348,,391,,739,
,5,9,14,,,,,,,1,1,,,1,1,,,,,,,,1,,1,5,,12,,17,
,,,,,,,,,,,,,,1,1,,,,11,22,33,,,,,11,,23,,34,
,3,4,7,,,,,,,1,1,,1,,1,,,,,1,1,,,,,4,,6,,10,
,12,14,26,,,,,,,,,,,,,,,,1,3,4,,,,,13,,17,,30,
,16,18,34,,,1,1,,2,1,3,,,,,1,,1,2,,2,,,,,21,,20,,41,
,169,196,365,,4,9,13,,30,30,60,,5,9,14,1,,1,7,13,20,2,1,,3,218,,258,,476,
,88,102,190,,2,1,3,,12,8,20,,1,7,8,1,1,2,1,5,6,,1,,1,105,,125,,230,
,2,,2,,,,,,1,,1,,,,,,,,,,,,,,,3,,,,3,
,3,4,7,,,,,,,1,1,,1,,1,,,,,1,1,,,,,4,,6,,10,
,12,14,26,,,,,,,,,,,,,,,,1,3,4,,,,,13,,17,,30,
,16,18,34,,,1,1,,2,1,3,,,,,1,,1,2,,2,,,,,21,,20,,41,
,259,298,557,,6,10,16,,43,38,81,,6,16,22,2,1,3,8,18,26,2,2,,4,326,,383,,709,
,279,322,601,,6,11,17,,42,37,79,,7,13,20,2,1,3,11,22,33,2,2,,4,349,,408,,757,
,11,12,23,,,,,,3,3,6,,,3,3,1,,1,,,,,,,,15,,18,,33,
,197,205,402,,2,9,11,,24,23,47,,6,10,16,2,1,3,1,1,2,2,1,,3,234,,250,,484,
,4,7,11,,,,,,1,,1,,1,,1,,,,10,21,31,,1,,1,16,,29,,45,
,89,122,211,,4,2,6,,20,17,37,,,6,6,1,,1,,,,,,,,114,,147,,261,
,273,297,570,,5,8,13,,35,35,70,,6,14,20,3,1,4,6,14,20,2,2,,4,330,,371,,701,
,17,37,54,,1,3,4,,10,5,15,,1,2,3,,,,5,8,13,,,,,34,,55,,89,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
