Office of Institutional Studies and Planning,,,,,,,
Graduate Students,,,,,,,
Spring 2008,,,,,,,
Official Certified 12th Class Day Data,,,,,,,
Spring 2008,,"G6: PB
Non-Degree","G7:
Masters","G8:
Doctoral","G9: GR
Conditional",Grand Total,
Head Count,Total,321,"4,615","3,251",35,"8,222",
Gender,Female,145,"1,884","1,353",18,"3,400",
,Male,176,"2,731","1,898",17,"4,822",
Ethnicity,White,220,"2,493","1,239",8,"3,960",
,Black,18,114,172,2,306,
,Hispanic,26,299,248,6,579,
,Asian,16,123,78,,217,
,American Indian,2,17,17,,36,
,International,34,"1,538","1,461",19,"3,052",
,Unknown/Other,5,31,36,,72,
TAMU Age,18-21,1,7,,,8,
Categories,22-25,106,"2,389",150,13,"2,658",
,26-30,74,"1,454","1,241",13,"2,782",
,31-39,70,552,"1,294",7,"1,923",
,40+,70,213,566,2,851,
College,Agriculture,32,550,441,6,"1,029",
,Architecture,7,344,76,1,428,
,Business Admin,,744,63,,807,
,Education,55,548,679,2,"1,284",
,Engineering,29,"1,322",860,5,"2,216",
,G. Bush School of Govt,113,152,,,265,
,Geosciences,9,118,127,4,258,
,Liberal Arts,14,298,447,3,762,
,Science,17,314,360,8,699,
,Veterinary Medicine,1,64,54,1,120,
,Other - Special Populations,44,161,144,5,354,
Enrollment,1st Time PB,121,1,,,122,
Status,1st Time Graduate,,451,79,3,533,
,Readmitted,,9,9,,18,
,Continuing,200,"4,154","3,163",32,"7,549",
Tuition Status,Resident Tuition,259,"2,398","1,232",12,"3,901",
,Non-Resident Tuition,24,524,315,4,867,
,Tuition Exemption/Waiver,38,"1,693","1,704",19,"3,454",
Residency,Texas Resident,274,"2,446","1,274",12,"4,006",
Status,"Non-TX, US Resident",12,620,509,4,"1,145",
,"Non-TX, Non-US Resident",35,"1,549","1,468",19,"3,071",
SCH,< 6 SCH,196,505,736,,"1,437",
Categories,6-8 SCH,67,510,144,3,724,
,9-11 SCH,42,"2,684","2,269",30,"5,025",
,12-14 SCH,12,724,86,2,824,
,15-17 SCH,4,110,14,,128,
,>17 SCH,,82,2,,84,
Ft/Pt: TAMU,Less Than Half Time,183,379,592,,"1,154",
Status,Half-Time,80,514,271,3,868,
,Full-Time,58,"3,722","2,388",32,"6,200",
"Prepared by OISP, 22 Feb 08",,,,,,,
