Spring 2008,,Undergraduate,,Masters,,PhD,,Professional,,Grand Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Head Count,Total,"35,024",3.0%,"4,971",12.7%,"3,251",-6.2%,505,0.0%,"43,751",3.2%,
Gender,Female,"16,770",2.2%,"2,047",10.1%,"1,353",-2.9%,374,0.3%,"20,544",2.6%,
,Male,"18,254",3.8%,"2,924",14.7%,"1,898",-8.4%,131,-0.8%,"23,207",3.8%,
Ethnicity,White,"27,301",1.8%,"2,721",9.1%,"1,239",-5.6%,442,-0.9%,"31,703",2.0%,
,Black,"1,032",6.0%,134,-1.5%,172,11.7%,1,-50.0%,"1,339",5.8%,
,Hispanic,"4,385",8.0%,331,9.2%,248,2.1%,35,2.9%,"4,999",7.7%,
,Asian,"1,546",13.3%,139,-7.3%,78,-1.3%,18,12.5%,"1,781",10.7%,
,American Indian,197,7.1%,19,35.7%,17,0.0%,2,100.0%,235,8.8%,
,International,481,-0.8%,"1,591",24.2%,"1,461",-9.6%,,,"3,533",4.4%,
,Unknown/Other,82,-16.3%,36,16.1%,36,-14.3%,7,16.7%,161,-9.0%,
TAMU Age,<18,1,-75.0%,,,,,,,1,-75.0%,
Categories,18-21,"20,865",5.7%,8,-33.3%,,,1,0.0%,"20,874",5.7%,
,22-25,"13,126",-0.7%,"2,508",12.8%,150,-15.7%,244,3.8%,"16,028",1.1%,
,26-30,720,0.4%,"1,541",15.3%,"1,241",-4.8%,212,0.0%,"3,714",4.1%,
,31-39,213,1.4%,629,7.5%,"1,294",-6.8%,42,-10.6%,"2,178",-2.4%,
,40+,99,-10.0%,285,13.1%,566,-4.9%,6,-40.0%,956,-1.1%,
Enrollment,1st Time in College,85,-2.3%,,,,,,,85,-2.3%,
Status,1st Time PB,13,8.3%,122,29.8%,,,,,135,27.4%,
,1st Time Graduate,,,454,27.5%,79,12.9%,,,533,25.1%,
,1st Time Transfer,790,6.3%,,,,,,,790,6.3%,
,Readmitted,252,18.3%,9,-10.0%,9,-10.0%,,,270,15.9%,
,Continuing,"33,884",2.9%,"4,386",11.1%,"3,163",-6.6%,505,0.0%,"41,938",2.8%,
Tuition,Resident Tuition,"33,002",3.3%,"2,669",8.4%,"1,232",-1.7%,468,0.6%,"37,371",3.4%,
Status,Non-Resident Tuition,841,-2.0%,552,31.7%,315,-4.0%,6,-14.3%,"1,714",6.3%,
,Tuition Exemption/Waiver,"1,181",-0.3%,"1,750",14.5%,"1,704",-9.6%,31,-6.1%,"4,666",0.8%,
Residency,Texas Resident,"33,377",3.2%,"2,732",8.5%,"1,274",-2.5%,475,1.3%,"37,858",3.3%,
Status,"Non-TX, US Resident","1,155",0.5%,636,5.8%,509,-5.4%,30,-16.7%,"2,330",0.3%,
,"Non-TX, Non-US Resident",492,-1.2%,"1,603",24.2%,"1,468",-9.4%,,,"3,563",4.5%,
SCH,< 6 SCH,904,10.6%,701,9.7%,736,1.4%,,,"2,341",7.3%,
Categories,6-8 SCH,"1,264",-3.1%,580,28.3%,144,-15.8%,,,"1,988",3.2%,
,9-11 SCH,"1,724",-10.0%,"2,756",12.4%,"2,269",-8.5%,,,"6,749",-1.4%,
,12-14 SCH,"16,887",7.7%,738,8.4%,86,13.2%,,,"17,711",7.8%,
,15-17 SCH,"13,193",0.4%,114,3.6%,14,16.7%,,,"13,321",0.4%,
,>17 SCH,"1,052",-7.2%,82,9.3%,2,100.0%,505,0.0%,"1,641",-4.3%,
Ft/Pt:,Less Than Half Time,814,21.3%,562,25.7%,592,2.1%,,,"1,968",15.9%,
"TAMU
Status","Half-Time
Three-Quarter Time","883
1,603","-3.7%
-10.1%",597,33.3%,271,10.6%,,,"1,751
1,603","8.8%
-10.1%",
,Full-Time,"31,724",3.6%,"3,812",8.5%,"2,388",-9.5%,505,0.0%,"38,429",3.1%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,
