Office of Institutional Studies and Planning,,,,,,,,
Qatar Campus,,,,,,,,
(Not included in University Total Enrollment) Spring 2008,,,,,,,,
Official Certified 12th Class Day Data,,,,,,,,
Spring 2008,,Student Level,,,,,Grand Total,
,,U0,U1,U2,U3,U4,,
Head Count Total,,22,75,49,66,70,282,
Gender,Female,16,23,22,18,30,109,
,Male,6,52,27,48,40,173,
SCH Categories,< 6 SCH,12,,,,,12,
,6-8 SCH,2,,,,3,5,
9-11 SCH,,,,,1,3,4,
,12-14 SCH,5,28,14,16,18,81,
15-17 SCH,,3,19,33,29,33,117,
,>17 SCH,,28,2,20,13,63,
"Prepared by OISP, 22 Feb 08",,,,,,,,
