Spring 2008,,White,,Black,,Hispanic,,Asian,,American Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
Veterinary,BIMS,"1,184",2.0%,48,14.3%,235,-8.6%,156,1.3%,7,-36.4%,14,180.0%,1,-50.0%,"1,645",0.8%,
Medicine,EPID,2,-80.0%,,,,,0,-100.0%,,,,,,,2,-81.8%,
,LAMD,3,50.0%,0,-100.0%,,,,,0,-100.0%,,,,,3,-25.0%,
,STJR,3,50.0%,,,,,,,,,2,100.0%,,,5,150.0%,
,TOXI,,,,,,,,,,,1,100.0%,,,1,100.0%,
,USVM,3,100.0%,,,,,,,,,,,,,3,100.0%,
,VMSC,6,-57.1%,,,1,-66.7%,,,,,3,200.0%,,,10,-44.4%,
,VPAR,0,-100.0%,,,,,,,,,,,,,0,-100.0%,
,VPAT,6,50.0%,,,1,0.0%,,,,,4,-33.3%,,,11,0.0%,
,VPHY,6,-14.3%,0,-100.0%,,,,,,,4,-55.6%,1,100.0%,11,-35.3%,
,VTAN,6,-33.3%,,,,,0,-100.0%,,,1,-87.5%,,,7,-63.2%,
,VTMD,442,-0.9%,1,-50.0%,35,2.9%,18,12.5%,2,100.0%,,,7,16.7%,505,0.0%,
,VTMI,10,-33.3%,2,0.0%,4,0.0%,2,100.0%,,,6,-50.0%,1,0.0%,25,-28.6%,
,VTMS,1,0.0%,,,,,,,,,,,,,1,0.0%,
,VTPH,1,-80.0%,,,,,,,1,0.0%,,,,,2,-66.7%,
,Subtotal,"1,673",-0.3%,51,6.3%,276,-7.7%,176,1.1%,10,-28.6%,35,-14.6%,10,11.1%,"2,231",-1.4%,
General,GEST,"2,386",13.6%,162,26.6%,491,21.5%,172,24.6%,21,5.0%,26,30.0%,2,-50.0%,"3,260",15.8%,
Studies,TEAM,464,62.8%,3,-76.9%,55,12.2%,14,1300.0%,7,75.0%,1,100.0%,0,-100.0%,544,53.7%,
,Subtotal,"2,850",19.4%,165,17.0%,546,20.5%,186,33.8%,28,16.7%,27,35.0%,2,-66.7%,"3,804",20.0%,
Other -,AGBU,14,27.3%,,,1,0.0%,1,100.0%,,,13,116.7%,,,29,61.1%,
Special,BIOT,3,-50.0%,,,2,100.0%,0,-100.0%,,,21,75.0%,,,26,30.0%,
Populations,ENSM,5,0.0%,,,1,0.0%,0,-100.0%,,,2,-71.4%,,,8,-42.9%,
,FSTC,15,50.0%,,,2,-33.3%,0,-100.0%,,,22,4.8%,,,39,11.4%,
,GACD,,,,,,,1,100.0%,,,,,,,1,100.0%,
,GENE,36,12.5%,2,100.0%,1,0.0%,2,-50.0%,,,16,6.7%,,,57,7.5%,
,MARB,2,100.0%,,,,,,,,,,,,,2,100.0%,
,MARM,1,0.0%,,,,,,,,,,,,,1,0.0%,
,MDSC,1,0.0%,,,,,1,100.0%,,,10,150.0%,2,100.0%,14,180.0%,
,MEPS,11,-15.4%,,,2,0.0%,,,,,15,-16.7%,,,28,-15.2%,
,MSEN,2,100.0%,3,0.0%,2,100.0%,1,100.0%,,,34,36.0%,1,100.0%,43,48.3%,
,NUTR,19,26.7%,1,0.0%,0,-100.0%,0,-100.0%,,,12,9.1%,,,32,10.3%,
,PHLT,14,40.0%,2,100.0%,1,100.0%,1,100.0%,,,3,50.0%,0,-100.0%,21,50.0%,
,REEP,1,100.0%,,,1,100.0%,1,100.0%,,,50,-12.3%,1,100.0%,54,-5.3%,
,TOXI,12,0.0%,1,0.0%,1,0.0%,1,100.0%,,,7,-41.7%,1,0.0%,23,-14.8%,
,WMHS,13,0.0%,,,2,100.0%,1,100.0%,,,9,28.6%,0,-100.0%,25,13.6%,
,Subtotal,149,14.6%,9,28.6%,16,33.3%,10,25.0%,,,214,8.6%,5,66.7%,403,12.9%,
Total,,"31,703",2.0%,"1,339",5.8%,"4,999",7.7%,"1,781",10.7%,235,8.8%,"3,533",4.4%,161,-9.0%,"43,751",3.2%,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,,,
