"Spring 2008
Headcount Total
TAMU Age                    18-21
Categories                      22-25
26-30
31-39
40+
Classification                  Freshman Sophomore Junior Senior
PB
Tuition Status                 Resident Tuition
Non-Resident Tuition Tuition Exemption/Waiver
Residency Status            Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
SCH Categories             < 6 SCH 6-8 SCH
9-11 SCH
12-14 SCH
15-17 SCH
>17 SCH
Ft/Pt:  TAMU                 Less Than Half Time
Status                              Half-Time
Three-Quarter Time Full-Time
Top 10% Texas              No
High School                   Yes
First Generation             No Unknown Yes
Dorm / Off-campus        Off-campus students                           Dorm (On-campus)",White,,,,,Black,,,,,Hispanic,,,,,Asian,,,,American Indian,,,International,,,Unknown/Other,,,Grand Total,,,,,,
,F,,M,,Tot,F,,M,,Tot,F,,M,,Tot,F,,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,,M,,To,t,
,,75,,24,99,,2,,1,3,,6,,2,8,,2,,2,,,,,,,,,,,85,,27,,112,
,,62,,13,75,,,,1,1,,3,,,3,,1,,1,,,,,,,,,,,66,,14,,80,
,,12,,10,22,,2,,,2,,1,,2,3,,1,,1,,,,,,,,,,,16,,12,,28,
,,,,1,1,,,,,,,2,,,2,,,,,,,,,,,,,,,2,,1,,3,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,5,,,5,,,,,,,1,,,1,,,,,,,,,,,,,,,6,,,,6,
,,41,,12,53,,,,1,1,,1,,1,2,,1,,1,,,,,,,,,,,43,,14,,57,
,,28,,11,39,,2,,,2,,3,,1,4,,1,,1,,,,,,,,,,,34,,12,,46,
,,1,,1,2,,,,,,,1,,,1,,,,,,,,,,,,,,,2,,1,,3,
,,73,,23,96,,2,,1,3,,6,,2,8,,2,,2,,,,,,,,,,,83,,26,,109,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,2,
,,73,,24,97,,2,,1,3,,6,,2,8,,2,,2,,,,,,,,,,,83,,27,,110,
,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,4,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,6,
,,3,,,3,,,,,,,1,,1,2,,,,,,,,,,,,,,,4,,1,,5,
,,41,,16,57,,2,,,2,,2,,1,3,,1,,1,,,,,,,,,,,46,,17,,63,
,,25,,6,31,,,,1,1,,3,,,3,,1,,1,,,,,,,,,,,29,,7,,36,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,
,,4,,2,6,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,,6,
,,3,,,3,,,,,,,1,,1,2,,,,,,,,,,,,,,,4,,1,,5,
,,67,,22,89,,2,,1,3,,5,,1,6,,2,,2,,,,,,,,,,,76,,24,,100,
,,73,,24,97,,2,,1,3,,6,,2,8,,2,,2,,,,,,,,,,,83,,27,,110,
,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,
,,52,,12,64,,1,,1,2,,3,,1,4,,1,,1,,,,,,,,,,,57,,14,,71,
,,1,,1,2,,,,,,,1,,,1,,1,,1,,,,,,,,,,,3,,1,,4,
,,22,,11,33,,1,,,1,,2,,1,3,,,,,,,,,,,,,,,25,,12,,37,
,,73,,22,95,,2,,1,3,,4,,2,6,,2,,2,,,,,,,,,,,81,,25,,106,
,,2,,2,4,,,,,,,2,,,2,,,,,,,,,,,,,,,4,,2,,6,
"Prepared by OISP, 22 Feb 08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
